title,episodes,mark,score,is_finish,link,series_follow,follows,coins,likes,danmus,views,season_id,media_id,tags,comments,pub_date,intro
续 夏目友人帐,全13话,会员专享,9.7分,1,https://www.bilibili.com/bangumi/play/ss1661,5262794,1092728,52689,11928,1051118,18857113,1661,1661,"['奇幻', '日常', '治愈', '催泪']",5569,2009/1/5,夏目玲子之孙——夏目贵志从祖母的遗物中得到了由契约书所做成的“友人帐”。同样拥有看见鬼神的能力、唯一继承了玲子血统的他却做出了一个重要的决定：将玲子夺过来的妖怪们的名字一一归还。伴随着归还名字的行动，贵志渐渐地认识了一个更真实的夏目铃子，同时也重新认识了妖怪们——其实妖和人一样，有善也有恶。贵志慢慢地和铃子一样有了许多朋友，不再感到孤独。
关于完全听不懂老公在说什么的事 第二季,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1655,1321474,734984,57995,33194,195387,39601761,1655,1655,"['日常', '少女', '泡面']",6135,2015/4/2,众望所归的第二季！有个宅男老公也许也是一件挺有趣的事吧？热心于工作的OL“薰”是个普通人，而她的老公则是沉迷于某大型网路留言版的阿宅，故事就围绕着这样的夫妻日常展开~看看本季两人又会怎样花式秀恩爱吧！
网球优等生,全25话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1651,32737,27971,1372,757,13760,1163269,1651,1651,['运动'],372,2014/4/6,"故事的主人翁尾崎荣一郎,是个功课一直都拿优等的高中一年级生。原本他的生活只是努力用功念书,但为了解决运动不足的问题,他开始打算尝试运动,而就在他妈妈帮他找到一家网球俱乐部并逼他去看看后,他的人生开始起了大变化,他不仅喜欢上网球,也在练习过程中不断精进自己的网球技巧.更在这与校园偶像有更进一步的接触。就在他开始学习网球一个月的时候,在某次见习实力坚强的江川学长发球时,问了”你是”你是否也以职业为目标?”,意外引发冲突,进而开始了一场发球与回击的对决,刚练网球一个月的尾崎荣一郎是否能挑战成功呢?《Baby Steps~网球优等生~..."
EVA 新世纪福音战士新剧场版1.11：序,全1话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1638?theme=movie,1726863,397336,26696,15131,90188,6459836,1638,10332,"['科幻', '机战', '战斗']",4235,2007/9/1,《EVA 新世纪福音战士新剧场版1.11：序：YOU ARE (NOT) ALONE》。本作基于TV动画1-6话重新制作，而非续编。与TV版剧情大致相同，但也有许多改动。
EVA 新世纪福音战士,全26话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1635,1726863,1440684,125031,77440,740633,34381110,1635,1635,"['科幻', '机战', '战斗']",36385,1995/10/4,2000年9月13日，第二次冲击爆发。在南极大陆上发生的这起大灾难，造成地轴偏斜、海平面上升、全球气候改变，世界人口减半。2015年，不明巨型生物“使徒”在日本登陆，并向第3新东京市袭来。国联军与使徒的作战失败，作战指挥权移至NERV。碇真嗣被父亲NERV总司令碇源堂召唤而来，NERV作战部长葛城美里带其到地下都市NERV总部。最后半推半就地驾驶着泛用人型决战兵器EVANGELION初号机与使徒对抗......
希德尼娅的骑士 第一季,全12话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1576,341230,285561,10468,4340,100582,6052094,1576,1576,"['热血', '科幻', '机战', '冒险']",2581,2014/4/10,故事舞台设立在太阳系被称为奇居子的谜之生命体破坏殆尽后的1000年后，在维持人类繁殖和生产、于宇宙中飞行的播种船希德尼娅上生活的主人公谷风长道成为了巨大人型兵器“卫人”的操纵士训练生，作品讲述的便是主人公与同伴们一起同奇居子战斗的故事。 动画《希德尼娅的骑士》改编自日本漫画家贰瓶勉作画的同名漫画。该作在过去作品相同的SF漫画类型的题材之上，融合了机器人、学园恋爱等要素，是一部构筑了自己独特世界观的战斗SF漫画。
怪盗JOKER 第二季,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1570,102103,37812,2533,2136,84302,1938487,1570,1570,"['萌系', '少儿']",274,2015/4/6,第二期回归！
怪盗JOKER 第一季,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1569,102103,63802,3605,3325,101945,2570488,1569,1569,"['萌系', '少儿']",403,2014/10/6,拥有华丽 欺诈、奇迹般神出鬼没的怪盗小丑（Joker），在于执拗的警部、敌人的斗智斗勇下，一次次华丽地这下各种陷阱、圈套，将名画、珠宝等成功盗出！动画中怪盗小丑的声优将由近来晋升很快的村濑步担当，而作为小丑 搭档的忍者小八则由小林由美子担当，和小丑同出师门的对手斯帕特将由下野纮献声，而和斯帕特一起修行的女怪盗女王将由泽城美雪配音！动画将由SHIN-EI动画制作，监督将是曾执导「哆啦A梦」剧场版的寺本幸代，系列构成则是「交响诗篇」和「宇宙丹迪」的佐藤大，人物设定是「Battle Spirits」的しもがさ美穂。
灵感！,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1560,139236,139236,5719,3726,23781,1235538,1560,60212,"['奇幻', '少女']",1537,2015/4/2,故事叙述一名对人和灵都和蔼可亲、拥有超强灵感的天然呆少女天海响，她不仅时常会遭遇灵异现象，甚至还能跟灵泡茶闲聊，所发生的日常。
可塑性记忆,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1552,2851167,2851167,618441,117609,2542979,59330223,1552,1552,"['科幻', '日常', '催泪']",25667,2015/4/4,故事发生在一个比现在的科学更加进步的世界。18岁的水柿司高考失败，多亏父母找关系得以进入大企业SAI社工作。SAI社是制造管理拥有感情的人形智能机器人（通称：Giftia）的企业，司在其中被安排到终端服务部门工作。这个部门其实就是回收即将到期的Giftia，是所谓的“窗边部门（不被重视的部门）”。于是司和打杂的Giftia少女“艾拉”组成搭档，一起开始了工作……
我的青春恋爱物语果然有问题。,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1539,5832900,3866498,295895,82843,2642026,67606314,1539,1539,"['日常', '校园', '恋爱', '小说改']",38535,2013/4/4,就读于千叶市立综武高等学校高二年级的比企谷八幡，从幼年时代就交不到什么朋友。正当他已经放弃了交朋友这种念头的时候，生活指导老师平冢静介绍他进入了学校第一美女——俗称校花的雪之下雪乃所在的“奉仕部”。奉仕部是一个暗中帮助学生们解决问题的部门，所以不对外招募部员，都是以介绍的方式为部门输送新鲜血液。进入了奉仕部的八幡，和与他有着完全相反个性的由比滨结衣、中二病全开的材木坐义辉、网球部的可爱男孩子户冢彩加等人，展开了一段段奇妙的故事……
魔法少女奈叶,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1535,471555,209705,2425,2065,14265,1066584,1535,1535,"['热血', '魔法']",1363,2004/10/1,《魔法少女奈叶》是2004年10月首播的日本动画片。第二部《魔法少女奈叶A's》于2005年10月首播。第三部《魔法少女奈叶StrikerS》于2007年4月首播。第四期漫画《魔法战记奈叶Force》与《魔法少女奈叶vivid》分别在2009年出品并开始连载。首部剧场版《魔法少女奈叶 The MOVIE 1st》已于2010年1月23日上映。主角高町奈叶是个平凡的小学三年级女生，与好友在如同日常作息的前往补习途中，发现了从异世界米德其路达（又译米德芝尔达）来的雪貂尤诺·斯克莱亚。他利用心灵感应告诉奈叶，他来到这个世界的理由是为了回收他所挖掘到的太古遗产（平行次元...
关于完全听不懂老公在说什么的事 第一季,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1530,1321474,1166195,154298,46234,297695,59835533,1530,1530,"['日常', '泡面']",7402,2014/10/2,原作者「酷教信者」在网络连载的四格搞笑漫画，讲述认真工作的OL与宅男老公间的日常故事。又名《关公说事》。
西蒙 SIMOUN,全26话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss1461,38910,38910,720,270,14397,319640,1461,1461,"['科幻', '机战', '架空']",312,2006/4/4,在地球以外的其他星球，人们把自己所在的星球称为“大空陆”。那里的人类一出生就必须以“女性”的身份生活。等到17岁的时候，到“泉”那里，选择性别而成为"大人"。为了夺取主人公等所在的宫国所持有的珍贵引擎“ヘリカル.モートリス ”(海螺引擎)，邻国开始了日益激烈的侵略。为了迎击敌国，宫国被迫将仪式用复座式飞行艇“Simoun”改造成了战斗用战舰。并且派遣未性别化的“巫女”担任驾驶员，于是，她们成为了被称为Simoun小队的战斗小队成员。操纵“Simoun”的少数少女被称为了“シムーン.シヴュラ （西蒙.西贝拉）”。因为驾驶Simoun的驾...
