tags,pub_date,long_com,short_com,cv,staff,intro,media_id
"['搞笑', '校园', '社团', '运动']",2018年7月14日,长评 ( 204 ),短评 ( 45043 ),"北原伊织：内田雄马,今村耕平：木村良平,时田信治：安元洋贵,寿龙次郎：小西克幸,古手川千纱：安济知佳,古手川奈奈华：内田真礼,滨冈梓：行成桃姬,吉原爱菜：阿澄佳奈","原作：井上坚二、吉冈公威（讲谈社《good!afternoon》连载）,监督、剧本、音响监督：高松信司,角色设计：草间英兴,总作画监督：植田羊一,美术监督：秋叶稔（Studio Jack）,道具设计：小川浩,色彩设计：松山爱子,摄影监督：今泉秀树,编辑：宇都宫正记,音响制作：Saber Links,音乐：Manual of Errors,动画制作：ZERO-G",北原伊织升入大学后，开始寄住在伊豆的叔父所经营的潜水用具店“Grand Blue”。传入耳中的波涛声、炽烈照射的太阳、开始一起生活的可爱表姐妹……青春的大学生活！这样的伊织所面临的却是——除了野球拳以外的猜拳一概不知的强壮男人们！！刚一入学就被大学潜水社团“Peek a Boo”所盯上了的伊织，在会长时·田信治和三年级学生·寿龙次郎的怂恿下，不知不觉已经身为社团的一员加入了他们的愚蠢喧嚣中。在大学中认识的虽然长得帅但性格却很遗憾的宅男——今村耕平也加入其中，他们的青春向着越来越奇怪的方向转进。明明在寄住的地方有着可爱的表...,102312
"['剧情', '爱情', '奇幻', '动画']",2021年12月25日,长评 ( 460 ),短评 ( 21918 ),"石川由依,浪川大辅,子安武人,木内秀信,户松遥,内山昂辉,远藤绫,茅原实里,水桥香织,佐藤利奈,松元惠,诸星堇,中田让治,间宫康弘,宫本充,筱原惠美,京田尚子,引坂理绘,川澄绫子,远藤大智,MayunoYasokawa,,中文配音版工作人员：,薇尔莉特 配音 叶知秋,基尔伯特 配音 阿杰,霍金斯 配音 宝木中阳,迪特福利特 配音 瞳音,,爱丽丝 配音 常蓉珊,贝内迪克特 配音 李兰陵,嘉德丽雅 配音 小连杀,艾丽卡 配音 沈念如,,尤里斯 配音 杨凝,琉卡 配音 幽舞越山,尤里斯父亲 配音 图特哈蒙,尤里斯母亲 配音 刘芊含,西昂 配音 祁柒,,基尔伯特父亲 配音 张遥函,老人 配音 高增志,市长 配音 叶保华,市长夫人 配音 伍凤春,,黛西 配音 闫夜桥,黛西父亲 配音 汤水雨,黛西母亲 配音 谷子,娜丽（青年）：黑特,娜丽（老年）：晏积瑄,,少年基尔伯特 配音 常蓉珊,少年迪特福利特 配音 刘明月,莉莉安 配音 周童,安的母亲：沈念如,邮局工作人员：藤新,,其他配音演员：姜英俊、戈昕宇、韩佳影、莫宇微,,译制团队：藤韵文化,导演：藤新、常蓉珊,,演员统筹：杜小星,,对白录音：赵朋飞","导演：石立太一,编剧：晓佳奈,吉田玲子,中文配音版工作人员：,,薇尔莉特 配音 叶知秋,基尔伯特 配音 阿杰,霍金斯 配音 宝木中阳,迪特福利特 配音 瞳音,爱丽丝 配音 常蓉珊,贝内迪克特 配音 李兰陵,嘉德丽雅 配音 小连杀,艾丽卡 配音 沈念如,尤里斯 配音 杨凝,琉卡 配音 幽舞越山,尤里斯父亲 配音 图特哈蒙,尤里斯母亲 配音 刘芊含,西昂 配音 祁柒,基尔伯特父亲 配音 张遥函,老人 配音 高增志,市长 配音 叶保华,市长夫人 配音 伍凤春,黛西 配音 闫夜桥,黛西父亲 配音 汤水雨,黛西母亲 配音 谷子,娜丽（青年）：黑特,娜丽（老年）：晏积瑄,少年基尔伯特 配音 常蓉珊,少年迪特福利特 配音 刘明月,莉莉安 配音 周童,安的母亲：沈念如,邮局工作人员：藤新,其他配音演员：姜英俊、戈昕宇、韩佳影、莫宇微,,译制团队：藤韵文化,导演：藤新、常蓉珊,,演员统筹：杜小星,,对白录音：赵朋飞、程景文,对白编辑：贾帅强,混音制作：赵朋飞",从事代笔职业的她，名叫薇尔莉特·伊芙加登。在让人们伤痕累累的战争结束后数年，崭新的时代来临，世界也逐渐恢复平稳，生活也随着新技术的开发而改变，大家都在向前迈进。但是，薇尔莉特每天都在思念“那个人”，她坚信他一定还活着。直到某天，她在邮局的仓库里发现了一封收件人不明的信……,28235728
"['漫画改', '热血', '校园', '运动']",2014年4月6日,长评 ( 113 ),短评 ( 13659 ),"日向翔阳:村瀬歩,影山飞雄:石川界人,泽村大地:日野聡,菅原孝支:入野自由,田中龙之介:林勇,东峰旭:細谷佳正,西谷夕:岡本信彦,月岛萤:内山昂輝,山口忠:斉藤壮馬","脚本:佐藤卓哉、岸本卓、竹内利光,导演:満仲勧,原作:古舘春一,分镜:平向智子、石川真理子、笹木信作、宮地昌幸",【本片由华盟字幕社译制】小时候，日向翔阳从电视上看见排球比赛，乌野高中的一名小个子在球上的英姿，简直就是个“小巨人”，对此非常深刻，并开始迷上排球，一直想成为“小巨人”一样的人。初中时排球社不够人数，只好默默等待，后来在终于有新成员后，参与了第一次也是最后一赛的比赛，不幸对决了最强队伍，结果当然落败。单凭自己的话，是绝对无法看见那景色的，不是自己一人的话，或许就能看见了…为了能够打出“胜利”的比赛，翔阳努力考入乌野高中，为了实现成为“小巨人”的排球梦想！,28221614
"['漫画改', '战斗', '奇幻', '冒险']",2015年1月9日,长评 ( 115 ),短评 ( 15881 ),"空条承太郎：小野大辅,花京院典明：平川大辅,简·皮耶尔·波鲁纳雷夫：小松史法,乔瑟夫·乔斯达：石冢运升,穆罕默德·阿布德尔：三宅健太,伊奇：福圆美里,迪奥·布兰度（DIO）：子安武人,格雷普莱：长克巳,冒牌提尼尔船长：玄田哲章,永恒（Forever）：山口胜平,诅咒的迪波：㭴井笙人,拉伐索尔：川田绅司,J·凯尔：千叶繁,荷尔·荷斯：木内秀信,妮娜：雪野五月,ZZ：岩崎征实,恩雅婆婆：铃木玲子,钢铁阿丹：岸尾大辅,阿拉伯胖子：坂卷学,男孩婴儿（Mannish Boy）：大谷育江,卡梅欧：有本钦隆,蜜特拉：久川绫,恩多尔：伊藤健太郎,欧因哥：保村真,波因哥：熊井统子,阿努比斯：松本保典,玛莱雅：高垣彩阳,阿雷西：小野坂昌也,丹尼尔·J·达比：银河万丈,达伦斯·T·达比：诹访部顺一,瓦尼拉·艾斯：速水奖","原作：荒木飞吕彦,监督：津田尚克,系列监督：铃木健一,总演出：加藤敏幸,总编剧：小林靖子,角色设计、总作画监督：小美野雅彦,替身设计、动作作画监督：光田史亮,动作作画监督：三室健太,替身设计·次要角色设计：町田真一,道具设计：宝谷幸稔、杉山了藏,美术设定：青木薰、副岛惠文,色彩设计：佐藤裕子,美术监督：吉原俊一郎,摄影监督：山田和弘,3DCGI监督：桧垣贤一,剪辑：广濑清志,音响监督：岩浪美和,音乐：菅野佑悟,动画制作：david production",在乔斯达家的宿敌·迪奥（DIO）复活的影响下，一位年轻人——空条承太郎，得到了名为“幽波纹（替身）”的能力。为了拯救因迪奥的诅咒而倒下的母亲荷莉，空条承太郎与外祖父·乔瑟夫以及伙伴们，一起为了打倒迪奥而展开旅程。在漫长的旅途当中，承太郎等人一次又一次地击退刺客，最后终于抵达迪奥所在的埃及。然而，为了阻止他们前进，各种怪异可怕的新一波敌影不断逼近——,28223483
"['战斗', '科幻', '热血', '特摄']",1996年9月7日,长评 ( 131 ),短评 ( 33475 ),"制作：圆谷一夫,监修：高野宏一,制片：笈田雅人、诸富洋史、位下博一,副制片：涩谷浩康、竹田青滋（字幕未列名）,导演：村石宏实、松原信吾、川崎乡太、神泽信一、原田昌树、冈田宁、冬木椴（神泽信一）、北浦嗣巳、石井てるよし、实相寺昭雄,编剧：右田昌万、小中千昭、长谷川圭一、宫泽秀则、川上英幸、武上纯希、儿玉宜久、河崎实、村石宏实、中崎一嘉、神泽信一、太田爱、平野靖士、川崎乡太、斋藤和典、萨川昭夫 、大西信介、上原正三,特技监督：高野宏一、神泽信一、北浦嗣巳、村石宏实、川崎乡太、大冈新一、服部光则,摄影棚：东宝ビルト,服装：东宝コスチューム,角色设计：丸山浩,机械&小配件设计：PLEX,奥特曼&怪兽设计：丸山浩,造形：开米プロ、マーブリングファインアーツ,音乐：矢野立美,出品：圆谷株式会社、每日放送、读卖广告社,主演: 长野博 吉本多香美 大泷明利 影丸茂树 增田由纪夫 古屋畅一 高树澪",0,"“迪迦”一词意为印度尼西亚语中神圣的数字""3""。约在三千万年前，人类处于超古代文明时期，守护人类的巨人们发生内战，原是地球最强的黑暗战士迪迦在受幽怜的感动后选择成为光之战士，使自己的黑暗力量长眠。奇杰拉花朵盛开，人们全部都陷入了因奇杰拉的花粉而产生的幻觉，认为已不再需要巨人。光之巨人不能干涉人类的选择，于是巨人把自己战斗的躯体隐藏在金字塔后，化作光离开了地球，回到了自己的故乡。邪神加坦杰厄带着毁灭的黑暗降临，超古代文明毁灭。21世纪初期，地球不再有侵略和战争，人类期盼已久的和平终于到来了。地球防卫军也因此...",28234069
"['热血', '战斗', '励志', '少儿']",1997年4月1日,长评 ( 21 ),短评 ( 2316 ),"小智：松本梨香,皮卡丘：大谷育江,小建 / 小刚：上田祐司,小霞：饭冢雅弓,武藏：林原惠美,小次郎：三木真一郎,火箭队的喵喵：犬山犬子","原案：田尻智,总监：石原恒和,辅助制作人：吉川兆二,动画监修：小田部羊一,企画：岩田圭介 / 川口孝司 / 久保雅一,总监督：湯山邦彦,监督：日高政光,系列构成：首藤剛志,设定协力：陣内弘之 / 川村久仁美 / 野本岳志,角色原案：杉森建 / 藤原基史 / 森本茂樹 / 西田敦子→にしだあつこ / 吉田宏信 / 斎藤むねお / 太田敏 / 吉川玲奈,角色设计：一石小百合,总作画监督：山田俊也,总作画监督辅助：小菅和久,美术监督：金村勝義,色彩设计：吉野記通 / 大関たつ枝,摄影监督：池上元秋 / 白井久男,编集：辺見俊夫 / 伊藤裕,音响监督：三間雅文,音乐：宮崎慎二,制作人：村瀬由美→岩田圭介→岩田牧子→松山進 / 柳沢隆行→深澤幹彦 / 盛武源,动画制作人：神田修吉,动画制作：OLM TEAM OTA","《精灵宝可梦》动画改编自同名游戏，讲述了立志成为宝可梦大师的小智和皮卡丘结伴旅行的故事。一路上，小智邂逅了不少同伴、劲敌、好友，和他们展开了一次又一次冒险。《精灵宝可梦 无印》共分为关都地区石英联盟、橘子群岛橘子联盟、城都地区城都联盟三个部分，因本作品无副标题，故又称为""无印""篇。",5761
"['校园', '恋爱', '搞笑', '治愈']",2016年7月1日,长评 ( 150 ),短评 ( 15338 ),"日代千鹤:茅野愛衣,海崎新太:小野賢章,小野屋杏:上田麗奈,夜明了:木村良平,大神和臣:内田雄馬,狩生玲奈:戸松遥,玉来萌香:茜屋日海夏,犬饲晓:杉山紀彰,犬饲堇:白石涼子","原作：夜宵草,监督：小坂知,系列构成：横手美智子、兵头一步,角色设计、总作画监督：山中纯子,色彩设计：矶贝深雪,美术监督：秋山健太郎,美术设定：座间智子、藤野真里,摄影监督：设乐希,编辑：坂本久美子,音乐：坪口昌恭,音响监督：秦昌二,音响制作：HALF H·P STUDIO,动画制作：TMS Entertainment,制作：ReLIFE研究所",海崎新太（27岁）在作为新毕业生进入的公司工作了3个月就辞职了。之后他的就职活动也不顺利。双亲寄来的生活费也中断了，不得已只好回到乡下。能够倾听他烦恼的朋友和女友全都没有……穷途末路的海崎面前出现了一位神秘人物·夜明了。夜明向海崎提出，要他参加以尼特为对象的社会复归程序“ReLIFE”。其内容是，利用神秘的秘药，仅仅让外表回复年轻，并在一年内以高中生的身份去读高中——。,28229193
"['漫画改', '热血', '搞笑', '战斗']",敬请,长评 ( 26 ),短评 ( 3158 ),"坂田银时：杉田智和,志村新八：阪口大助,神乐：钉宫理惠,定春：高桥美佳子,志村妙：雪野五月,登势：くじら,凯瑟琳：杉本优,近藤勋：千叶进步,土方十四郎：中井和哉,冲田总悟：铃村健一,山崎退：太田哲治,桂小太郎：石田彰,坂本辰马：三木真一郎,高杉晋助：子安武人,神威：日野聪","原作：空知英秋/集英社,监督：宫胁千鹤,监修：藤田阳一,作画监督：竹内进二,人物设定：中村ユミ,美术监督：福岛孝喜、间庭奈美,色彩设定：歌川律子,摄影监督：寺本友纪,编集：濑山武司（266-277），佐佐木纮美（278-316）,CG监督：铃木知美（旭Production）,音乐：Audio Highs,音响监修：小林克良,音响监督：高松信司,制片人：松山进（东京电视台）、斋藤朋之、三浦进,计划经理：番泰之（东京电视台）、樋口弘光,制作：东京电视台、电通、Bandai Namco Pictures",随着天人（宇宙人）的袭击，城镇和整个江户的价值观发生了改变，宇宙人、高层建筑、摩托车什么的都出现在了世界上。此时依然存在着有着不变灵魂的最后的武士，这个男人的名字是坂田银时，通称万事屋・阿银。阿银是个马虎、鲁莽并且超爱甜食的人，每天在悠哉和若无其事中度过。在与伙伴们共度的时光中，阿银过着充满着笑与泪的温暖生活。,28233841
"['萌系', '搞笑', '日常', '漫画改']",2011年4月2日,长评 ( 162 ),短评 ( 20137 ),"阪本先生：白石稔,博士：今野宏美,东云名乃：古谷静佳,水上麻衣：富樫美铃,长野原美绪：相沢舞,相生祐子：本多真梨子,玉村：味里,笹原幸治郎：川原庆久","原作 / 构成协力：あらゐけいいち,企画：安田猛 / 八田陽子 / 武智恒雄 / 井上俊次 / 太布尚弘,监督：石原立也,副监督：石立太一,系列构成：花田十輝,角色设计 / 总作画监督：西屋太志,色彩设计：宮田佳奈,美术监督：鵜ノ口穣二,摄影监督：高尾一也,音响监督：鶴岡陽太,编集：重村建吾,音乐：野見祐二,音乐制作人：斎藤滋,音乐制作：ランティス（Lantis）,企画制作人：伊藤敦 / 八田英明,协力制作人：鈴木智子 / 沼田知己 / 佐藤久暢,助理制作人：瀬波里梨 / マック千葉 / アントニー山崎,动画制作：京都アニメーション（京都动画）",《日常》改编自あらゐけいいち连载于《月刊少年ACE》的同名漫画。以“时定高中”的高中女生们异想天开的日常——“非日常”日常为中心，展开一个充满各种笑点的可爱故事。,844
"['日常', '励志', '漫画改']",2017年10月15日,长评 ( 185 ),短评 ( 8154 ),"桐山零：河西健吾,川本明里：茅野爱衣,川本日向：花泽香菜,川本桃：久野美咲,二海堂晴信：冈本信彦,幸田香子：井上麻里奈,高桥勇介：细谷佳正,岛田开：三木真一郎,三角龙雪：杉田智和","原作：羽海野千花,监督：新房昭之,人物设定：杉山延宽,美术设定：名仓靖博,美术监督：田村盛挥,音响监督：龟山俊树,音乐：桥本由香利,动画制作：SHAFT,制作：《3月的狮子》动画制作委员会",这是有关各式各样的人们取回什么的温馨故事，同时也是有关斗争的故事。主人公桐山零，幼时因为意外事故失去了家人，是一个背负着沉重的孤独的17岁将棋棋士。独自居住在东京旧市镇桐山零遇见了明里、日向、桃三姐妹，少年桐山零因此发生了改变。,6445
