title,season_id,pub_real_date
名侦探柯南 迷宫的十字路口,5156,1590076800
温暖的印记,5125,1465142400
路人超能100(灵能百分百),5058,1468252800
星之梦～星之人～,5051,1472832000
这个美术社大有问题！,5043,1467907200
第一神拳,500,970502400
地狱少女 二笼,4880,1160150400
草莓棉花糖 OVA 第1期,4828,1172160000
草莓棉花糖 encore,4737,1232640000
最终幻想VII：降临之子,4720,1126627200
犬夜叉完结篇,4687,1254499200
中二病也要谈恋爱！,4340,1349193600
JOJO的奇妙冒险,4334,1349366400
堀桑与宫村君,4333,1349366400
魔法少女小圆 剧场版 [后篇] 永远的物语,4317,1350057600
魔法少女小圆 剧场版 [前篇] 起始的物语,4316,1349452800
pop子和pipi美的日常 第二季,43158,1664640000
呆萌酷男孩,43156,1665417600
新猫和老鼠 第四季,42921,1661788800
酷爱电影的庞波小姐,42910,1667232000
犬夜叉剧场版 镜中的梦幻城,42653,1660320000
犬夜叉剧场版 穿越时空的思念,42652,1660320000
玉子市场,4262,1357660800
史努比太空历险记 第一季,42309,1657814400
哆啦A梦 第四季,42289,1661443200
JOJO的奇妙冒险 星尘远征军 埃及篇,4213,1420732800
奇幻世界舅舅,42105,1661875200
Ｄｒ．ＳＴＯＮＥ 石纪元 特别篇：龙水,42093,1664726400
艾克斯奥特曼剧场版 来了！我们的奥特曼,41954,1654012800
憨豆先生动画版 第一季,41930,1660060800
米奇妙妙屋 第1季 中文配音,41920,1659024000
斩服少女,419,1380729600
JOJO的奇妙冒险 星尘远征军,4185,1396540800
花园宝宝 中文配音,41603,1650038400
青之芦苇,41575,1662134400
银河英雄传说：全新命题 激战,41534,1649952000
夏日幻魂,41484,1648656000
约会大作战 第四季,41432,1649347200
恋爱要在世界征服后,41418,1649347200
夏日重现,41417,1652371200
疯狂兔子入侵：火星任务,41198,1648051200
前进吧！登山少女 第二季,4115,1404835200
四色战记 / RWBY 第二季,41134,1644076800
海绵宝宝,41012,1643299200
在下坂本，有何贵干？ 中配版,41006,1643126400
愤怒的小鸟：猪猪传 第一季,40759,1643299200
愤怒的小鸟 第三季,40758,1641484800
愤怒的小鸟 第二季,40757,1641484800
愤怒的小鸟 第一季,40756,1643299200
元气囝仔,4070,1404489600
明日酱的水手服,40530,1646841600
女孩的钓鱼慢活,40242,1641484800
猫和老鼠（1975）,39837,1636300800
四色战记 / RWBY 第一季,39495,1634832000
结城友奈是勇者 第三季 / 大满开之章,39486,1633104000
新飞天小女警 第二季,39472,1632844800
新飞天小女警 第一季,39471,1632844800
异想食堂  / 异世界食堂 第二季,39446,1642176000
