tags,pub_date,long_com,short_com,cv,staff,intro,media_id
"['搞笑', '日常', '泡面']",2011年6月28日,长评 ( 1 ),短评 ( 24 ),"宇佐美初：大橋歩夕,有马小夜：加藤英美里,长宗我部彩：佐藤奏美,佐佐玛利亚：小見川千明,鸟羽一郎：檜山修之,北条绘马：竹達彩奈,鳥羽ゆたか：石原夏織","人物设定：亜桜まる,导演：谷東,原作：野中英次、亜桜まる,演出：博史池畠,动画制作：DLE,友情協力：旭プロダクション",作为主人公的宇佐美成功进入了自己期望的“长岛高中”。这个高中必须参加社团活动，于是和自己的朋友有马小夜一起想找个应付性的社团。她们看到了一个有格外令人注目名称的社团，叫做“传统技艺继承部”。在还没有明白其意义的情况下，她们就被吸收入部（社团）了。然后越来越不清楚其意义了。,908
"['少女', '热血']",2011年10月4日,长评,短评 ( 4 ),0,0,《战国☆天堂》是极受日本女性欢迎的手机游戏。在游戏中，玩家可以选泽极美型的战国人物建立自己的领域，还可以与其他玩家控制的角色互动，进行联谊。此次的TV动画名称定为《战国☆天堂极》，曾担任《食梦者》、《GANTZ》等作品的作画监督羽田浩二将负责本作人设。而声优阵容方面，则由梢川翔平、浪川大辅、今井麻美、柿原彻也等实力派声优。,892
"['少儿', '热血']",2012年4月8日,长评,短评 ( 7 ),"海原海人：寺島拓篤,火龙院 忍：内山昂輝,海原荣人：小平有希,黑银零：岡本信彦,小丸：諸星すみれ,大道寺：子安武人,花轮弁庆：三宅健太,大鸟翼：入野自由,天野圆：真堂圭","导演：杉島邦久,人物设定：長森佳容,音响监督：松岡裕紀,原画：長森佳容,原作：足立たかふみ,系列构成：杉島邦久,作画监督：沈宏,动画制作：SynergySP",与涅墨西斯的战斗数年后，崇拜银河的以最强陀螺手为目标的新主人公黑银零，在当地不知不觉已经是No.1陀螺手了。零为了测试自己的实力，来到了银河他们的镇子上。而银河已不在那里，集结着的是以明天最强陀螺手为目标的陀螺强手们。零立刻与他们开始对战，由于不习惯当地没有的ZERO-G竞技场而陷入苦战。不过由于天生的胆识和天性的直觉，他理解了攻略法并获得了胜利。在这样的零面前，会接二连三地站出来怎样的陀螺强手们呢！《金属对决 战斗陀螺 ZERO G》是一套由2012年4月至2012年12月间，于日本小学馆发行杂志所刊登的漫画。2012年4月间改编...,804
"['萌系', '日常', '治愈']",2012年4月1日,长评,短评 ( 8 ),"柴犬子：佐々木未来,茶子：铃木美咲,菜穂：杉本みくる,优人：丸冢香奈","企画：松本卓也,制作：ドリームクリエイション,动画制作：ダックスプロダクション",柴犬子讲述的是主人公柴犬子在周围的人眼中看起来只不过是一个茶色头发有点卷的普通女孩子。但是在另一个主人公石桥茶子的眼中却是一只两只腿直立行走的柴犬姿态。漫画就是围绕着这两个人的日常高中生活来展开，非常新颖有趣的作品。普通的中学2年级生，虽然是柴犬的姿态，但是除了茶子以外任何人都不会觉得不可思议。在作品中能够跟人普通的进行对话，但是句尾往往会带上“汪~”这样的尾音。,798
"['萌系', '搞笑', '日常', '泡面']",2012年7月3日,长评,短评 ( 20 ),0,0,讲述了18岁浪人（重考生）由瑠芽从乡下出来寻梦，准备去东京的补习学校进行重读。入住了远离东京城区的“希望宅邸”，这个名为“宅邸”的地方其实只是个虚有其名的破烂公寓。而住在里面的民民全部都是补习生，但大学入学者为零。本作描写了他们在那样的公寓里悠哉生活的有趣故事。,776
"['科幻', '少儿']",2012年10月8日,长评,短评 ( 1 ),0,0,一个晴朗的早晨，在一间经营餐馆的隔楼里，传出碰撞声音......一名跌坐在床下，睡眼惺忪的少年正问著自己：「这是梦吗......」也许只是一场梦，在梦里，少年持著弹珠人，对著黑暗的一方射出了弹珠後，便看见了某个曙光，只是在看清楚之前梦便醒了。之後在家人的催促之下，与姐姐一同前往市集采买食材。在路途中，姐姐见到一羣孩子正在对战，不免担心起少年开来，心想「他可以承受这个打击吗??」，是的，梦不是假的，这是一个悲伤的过去，姐姐不愿意再提起它。返回家後，开始餐馆一天的忙录，少年负责外场，姐姐负责内场，各取所需。很快的，一...,751
"['科幻', '少儿']",2011年10月2日,长评,短评 ( 20 ),"龙崎翔：大原桃子,白银昴：国立幸,焰直哉：铃木千寻,黑渊巴萨拉：立花慎之介,皇龙司：三瓶由布子","导演：小高義規,原画：長森佳容,演出：小高義規、前園文夫、斉藤啓也,作画监督：中島渚,分镜：小高義規、前園文夫,友情協力：長森佳容",不久的未来，青少年之间开始盛行着弹珠人竞技，然而在弹珠人竞技界中有出现如此的风声：“传说有个只有被选上的稀有弹珠人参赛者才能参加的‘秘密弹珠人大赛’”。在此同时，其中一位刚接触弹珠人的玩家龙崎翔，伴随着他手上的弹珠人“神威苍龙”，想借由在这场死斗中一路过关斩将，揭露其中“秘密竞赛”的真面目......,750
"['萌系', '搞笑', '日常', '泡面']",2013年1月11日,长评,短评 ( 14 ),0,0,今年12月，一项由角川集团旗下4社共同企划的项目「地狱幼稚园」正式启动，其中以短片动画与直播番组配信由大家熟悉的niconico动画先行启动，随后漫画化等的运作也将进一步展开。,684
"['恋爱', '科幻', '漫画改']",1995年2月21日,长评,短评 ( 29 ),"桃生纯太：难波圭一,葵加林：富永美衣奈,佐伯伦子：林原惠美,栗本亜美：笠原弘子,高梨ことみ：椎名碧流,菅下竜二：子安武人,染屋垣麿：岩田光央,市川一期：菊池英博,栗本三郎：峰惠研,桃生チヨ：丸山裕子,おはる：山田荣子,横森：大林隆之介,森：筈见纯,川崎るらら：玉川纱己子","导演: 坂田純一,脚本: 浦畑達彦,分镜: 小寺勝之、加瀬充子、阿部司,演出: 小高義規、田中洋之、坂田純一,作画监督: 君塚勝教、長森佳容,机械设定: 小池健,原画: 鈴木典光,制片人: 丸山正雄,动画制作: MADHOUSE",西元2060年的地球，人口爆炸，造成严重的社会问题，为了抑制入人口，凡是生育超过一个小孩的人都必须处死。岂料有一个超级花花公子竟然让100个女人怀孕，导致生下100个具有相同好色基因(DNA)的小孩散布在世界各地。为了解决这个可怕的问题，未来政府派遣一位少女特使－－加林，穿越时空来到90年代，试图找出这个16岁的高中嫌犯：超级花花公子……,7892
['机战'],2017年4月15日,长评 ( 1 ),短评 ( 25 ),"原作: タカラトミー,导演: 加戸誉夫,脚本: 千葉克彦、北嶋博明、荒木憲一、丸川直子、あみやまさはる,音乐: 平野義久,人物设定: 乗田拓茂,系列构成: 荒木憲一,美术监督: 青山直樹,色彩设计: 佐藤裕子,机械设定: やまだたかひろ,製作: ドライブヘッド・TBS,制片人: 下地志直,制作助手: XEBEC、アスリード、A・C・G・T,动画制作: オー・エル・エム",0,故事发生在接近现在的未来，政府成立了以救助人命为主要目的的组织“机动救急警察Hyper Rescue”，使用为警察、消防、救急各自的需求特化开发的“drive head”机体。通过适应性选拔出来的驾驶员是小学生，他们与大人合力共同维护人类的和平与安全。,6084
"['机战', '科幻']",2017年1月20日,长评,短评 ( 33 ),主演: Kimberly Brooks / Rhys Darby / 乔什·基顿 / 泰勒·莱伯恩 / 杰里米·沙达 / 贝克斯·泰勒-克劳斯 / 史蒂文·元,"导演: Steve Ahn,编剧: May Chan",这部动画剧为梦工厂作品，是原版《战神金刚》的重制版，原版《战神金刚》又称《百兽王》，是《圣斗士星矢》的同时代作品，在日本和美国有多部动画剧和衍生剧。故事描述五个人类少年——西罗、汉克、吉斯、兰斯、皮吉——从地球传送到遥远的银河深处，卷入一场星际战争。他们驾驶五只巨大的机器狮子，联合来自艾提拉星球的阿劳拉公主和克兰与邪恶的扎肯军团展开斗争，保护宇宙免遭邪恶侵袭。只有掌握了真正的团队合作力量，他们才能让五只机器狮子合体，组成强大的宇宙战士「战神金刚」,10872
"['机战', '科幻']",2017年10月13日,长评,短评 ( 14 ),Steven Yeun / Josh Keaton / Kimberly Brooks / Rhys Darby / Jeremy Shada / Bex Taylor-Klaus / Tyler Labine / A.J. LoCascio / Neil Kaplan / Cree Summer,"导演: Joaquim Dos Santos,编剧: Tim Hedrick / Joshua Hamilton",《新战神金刚：传奇的守护者》是美国梦工厂公司、World Events Productions公司推出，Studio Mir公司制作的一部美国系列网络电视动画。是日本二十世纪福克斯在1980年代推出的《战神金刚》系列动画的重置版本。 本剧所有角色均源自原版《战神金刚》，人物及背景是二维动画绘制，战斗部分运用CGI三维特效技术。,7712
"['机战', '科幻']",2017年8月4日,长评,短评 ( 14 ),Kimberly Brooks / Neil Kaplan / 乔什·基顿 / 泰勒·莱伯恩 / 杰里米·沙达 / 贝克斯·泰勒-克劳斯 / 史蒂文·元,"导演: Steve Ahn / Eugene Lee / 克里斯·帕尔默 / Joaquim Dos Santos / Lauren Montgomery / Ki Hyun Ryu,编剧: May Chan / Joshua Hamilton / Tim Hedrick",五个地球少年 —— 吉斯，兰斯，汉克，皮吉和希罗 —— 联合组成了守卫银河系的最后一道防线，抵抗邪恶的外星人扎克大帝。,7692
"['科幻', '战斗']",1993年8月21日,长评,短评 ( 11 ),"原作：吉田竜夫,监督：笹川ひろし,制作：タツノコプロ企画室",0,《再造人卡辛》(OVA)作为龙之子30周年纪念作品，于1993年发表，共4话。,10832
