title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
机动战士高达 THE ORIGIN IV：命运的前夜,全1话,,9.7,1,264824,104530,3992,7580,18437,1315658,日本,866,1,28034,28221447,https://www.bilibili.com/bangumi/play/ss28034
流汗吧！健身少女,全12话,,9.7,1,1768770,1768768,188406,210418,560743,45002250,日本,20033,1,28013,28221412,https://www.bilibili.com/bangumi/play/ss28013
玉响～毕业写真～,全4话,,9.7,1,171129,45965,3775,1601,9446,1176149,日本,357,1,2800,2800,https://www.bilibili.com/bangumi/play/ss2800
酷妹当家,全51话,,9.7,1,83091,83091,4150,16248,27366,1567799,日本,439,1,27819,28221057,https://www.bilibili.com/bangumi/play/ss27819
机动战士高达 THE ORIGIN II：悲哀的阿尔黛西亚,全1话,,9.7,1,264824,92059,4338,7011,14475,1003301,日本,837,1,27795,28220989,https://www.bilibili.com/bangumi/play/ss27795
终物语,全12话,独家,9.7,1,1364601,1125699,61764,42218,293191,19032596,日本,5146,1,2747,2747,https://www.bilibili.com/bangumi/play/ss2747
女神异闻录4,全26话,会员专享,9.7,1,357002,356584,13148,18289,234775,6749089,日本,2344,1,2717,2717,https://www.bilibili.com/bangumi/play/ss2717
萤火之森,全1话,,9.7,1,1372979,1372979,130316,185272,164098,9424390,日本,13181,1,27042,27526419,https://www.bilibili.com/bangumi/play/ss27042?theme=movie
CAROLE & TUESDAY,全24话,独家,9.7,1,2365072,2365072,572523,300003,1058824,67768481,日本,103701,1,26875,24097891,https://www.bilibili.com/bangumi/play/ss26875
川柳少女,全12话,独家,9.7,1,1671574,1671575,183672,182033,392222,27778136,日本,19041,1,26870,24069719,https://www.bilibili.com/bangumi/play/ss26870
男子高中生的日常 SP,全6话,,9.7,1,3211425,326672,19537,30756,37189,10448400,日本,3462,1,2681,2681,https://www.bilibili.com/bangumi/play/ss2681
钻石王牌 act II 前半,全25话,独家,9.7,1,411032,180335,51078,63139,200274,18209160,日本,4547,1,26809,22940468,https://www.bilibili.com/bangumi/play/ss26809
水果篮子 (2019),全25话,会员专享,9.7,1,1489943,1105803,114836,133421,303765,23429805,日本,10683,1,26766,21984454,https://www.bilibili.com/bangumi/play/ss26766
鲁邦三世：次元大介的墓标,全1话,,9.7,1,986818,48536,4561,8138,3855,1087214,日本,743,1,26714,19724023,https://www.bilibili.com/bangumi/play/ss26714?theme=movie
次元发电机,更新至第67话,独家,9.7,0,293639,293639,82460,222012,50904,16302189,日本,1664,1,26390,11663079,https://www.bilibili.com/bangumi/play/ss26390
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,全13话,独家,9.7,1,2447606,2447606,287457,242438,598080,53691764,日本,42186,1,26363,5912238,https://www.bilibili.com/bangumi/play/ss26363
不吉波普不笑,全18话,独家,9.7,1,1376113,1376113,149934,127755,267538,24600424,日本,23078,1,26303,4316462,https://www.bilibili.com/bangumi/play/ss26303
同居人是猫,全12话,独家,9.7,1,1134723,1134723,133731,123821,236811,26198082,日本,13477,1,26289,4762694,https://www.bilibili.com/bangumi/play/ss26289
KEMURIKUSA,全12话,独家,9.7,1,568494,568494,44245,36934,84975,7980575,日本,12763,1,26285,4316422,https://www.bilibili.com/bangumi/play/ss26285
小马宝莉 友谊的魔力 第八季（中配）,全26话,,9.7,1,940907,160600,16875,88072,229878,24582177,美国,1190,1,26223,4314422,https://www.bilibili.com/bangumi/play/ss26223
