title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
欢迎来到加帕里公园 第二季,全12话,会员专享,2.3,1,94175,22082,938,2611,665,676798,日本,0,1,27698,28220802,https://www.bilibili.com/bangumi/play/ss27698
兽娘动物园 2,全12话,会员专享,2.2,1,493192,80182,3674,9605,35938,2360012,日本,0,1,26295,5345112,https://www.bilibili.com/bangumi/play/ss26295
孤独摇滚！,更新至第2话,独家,,0,473719,473719,45161,103746,17122,3047351,日本,0,1,43164,28339735,https://www.bilibili.com/bangumi/play/ss43164
万能蔬菜卜卜侠,全1话,,,1,2142,2142,66,152,1139,41029,日本,0,1,958,958,https://www.bilibili.com/bangumi/play/ss958?theme=movie
麻衣的魔法和家庭日,全1话,,,1,4666,4666,36,8,281,44717,日本,0,1,957,957,https://www.bilibili.com/bangumi/play/ss957
苏希的动物园,全10话,,,1,3885,3885,106,198,846,84577,日本,0,1,945,945,https://www.bilibili.com/bangumi/play/ss945
X战警,全12话,,,1,25447,25447,296,838,5860,549565,日本,0,1,944,944,https://www.bilibili.com/bangumi/play/ss944
和殿下一起～眼罩之野心～,全12话,,,1,15824,6119,369,1041,268,73358,日本,0,1,937,937,https://www.bilibili.com/bangumi/play/ss937
和殿下一起 1分钟剧场,全12话,,,1,15824,12824,467,1432,221,90383,日本,0,1,936,936,https://www.bilibili.com/bangumi/play/ss936
怪物猎人日记 岌岌可危的猫猫村G,全13话,,,1,13976,13970,388,1270,4460,514340,日本,0,1,912,912,https://www.bilibili.com/bangumi/play/ss912
DOUBLE-J,全11话,,,1,16234,16234,229,381,4634,224716,日本,0,1,908,908,https://www.bilibili.com/bangumi/play/ss908
战国☆天堂 -极-,全26话,,,1,9567,9567,37,84,2261,180020,日本,0,1,892,892,https://www.bilibili.com/bangumi/play/ss892
金属对决 战斗陀螺 ZERO G,全38话,,,1,4532,4532,98,269,833,384897,日本,0,1,804,804,https://www.bilibili.com/bangumi/play/ss804
柴犬子,全26话,,,1,12195,12195,138,526,4368,409008,日本,0,1,798,798,https://www.bilibili.com/bangumi/play/ss798
希望宅邸3D 第二季,全13话,,,1,26520,8529,295,460,2567,288781,日本,0,1,776,776,https://www.bilibili.com/bangumi/play/ss776
激战！弹珠人 第二季,全12话,,,1,10630,3469,61,171,317,188040,日本,0,1,751,751,https://www.bilibili.com/bangumi/play/ss751
CROSS FIGHT 弹珠人,全52话,,,1,10630,9723,389,1054,4517,712863,日本,0,1,750,750,https://www.bilibili.com/bangumi/play/ss750
地狱幼稚园,全12话,,,1,9846,9846,141,316,1865,226205,日本,0,1,684,684,https://www.bilibili.com/bangumi/play/ss684
D·N·A² ~他到底失去了什么？~ OVA,全3话,,,1,44568,9584,1615,3132,11605,905162,日本,0,1,6532,7892,https://www.bilibili.com/bangumi/play/ss6532
DRIVE HEAD 机动救急警察,全37话,,,1,20543,20543,1203,7501,2890,1573453,日本,0,1,6522,6084,https://www.bilibili.com/bangumi/play/ss6522
新战神金刚：传奇的保护神 第二季,全13话,,,1,25713,4936,230,278,5343,208339,美国,0,1,6517,10872,https://www.bilibili.com/bangumi/play/ss6517
新战神金刚：传奇的保护神 第四季,全6话,,,1,25713,5451,358,328,2898,201677,美国,0,1,6516,7712,https://www.bilibili.com/bangumi/play/ss6516
新战神金刚：传奇的保护神 第三季,全7话,,,1,25713,4121,386,294,4327,253171,美国,0,1,6515,7692,https://www.bilibili.com/bangumi/play/ss6515
再造人卡辛（OVA）,全4话,,,1,119987,9047,216,847,820,159342,日本,0,1,6510,10832,https://www.bilibili.com/bangumi/play/ss6510
Onyankopon,全12话,出品,,1,7905,7905,479,1444,935,317864,日本,0,1,6501,7392,https://www.bilibili.com/bangumi/play/ss6501
破里拳 Hurricane Polimar,全26话,,,1,9364,9339,1315,1215,1010,285016,日本,0,1,6489,10612,https://www.bilibili.com/bangumi/play/ss6489
爱米 -WE LOVE RICE- 第二季,全12话,,,1,29823,23890,472,1335,810,278974,日本,0,1,6478,6478,https://www.bilibili.com/bangumi/play/ss6478
雨色Convention,全12话,独家,,1,194284,45705,898,2057,1161,567879,日本,0,1,6476,6476,https://www.bilibili.com/bangumi/play/ss6476
直白标题机器人动画,全12话,,,1,5316,5316,224,187,5566,210486,日本,0,1,642,642,https://www.bilibili.com/bangumi/play/ss642
新造人间卡辛（1973）,全35话,,,1,119987,14115,2978,1555,4007,321529,日本,0,1,6401,10572,https://www.bilibili.com/bangumi/play/ss6401
科学小飞侠 THE MOVIE,全1话,,,1,276008,4341,62,188,106,100385,日本,0,1,6399,6399,https://www.bilibili.com/bangumi/play/ss6399?theme=movie
先驱少女的日常茶饭事,全5话,,,1,5179,5179,147,135,365,64496,日本,0,1,6392,6392,https://www.bilibili.com/bangumi/play/ss6392
火影忍者舞台剧 虹桥艺术中心采访篇,全1话,,,1,43772,8323,325,2380,1258,1333033,日本,0,1,6384,6384,https://www.bilibili.com/bangumi/play/ss6384
PIKO太郎的摇篮曲,全12话,,,1,4416,4416,141,202,362,126152,日本,0,1,6378,6378,https://www.bilibili.com/bangumi/play/ss6378
解谜之音 KAITO×ANSA,全12话,,,1,93600,15218,149,459,1045,249973,日本,0,1,6376,6376,https://www.bilibili.com/bangumi/play/ss6376
科学小飞侠（1972）,全105话,,,1,276008,11797,8682,1185,1726,347580,日本,0,1,6246,6246,https://www.bilibili.com/bangumi/play/ss6246
决斗大师 VSRF,全51话,,,1,9226,6665,8652,2635,1320,582806,日本,0,1,6192,13287272,https://www.bilibili.com/bangumi/play/ss6192
兔龟 女高网球部外传 SP,全1话,,,1,204613,8314,151,220,99,68537,日本,0,1,6170,6170,https://www.bilibili.com/bangumi/play/ss6170
科学小飞侠F（1979）,全48话,,,1,276008,5209,2635,332,150,146680,日本,0,1,6160,6160,https://www.bilibili.com/bangumi/play/ss6160
科学小飞侠II（1978）,全52话,,,1,276008,5491,3057,1027,418,167972,日本,0,1,6144,6144,https://www.bilibili.com/bangumi/play/ss6144
侦探歌剧 少女福尔摩斯 派对之夜,全1话,,,1,138576,13799,500,337,1008,117380,日本,0,1,6136,6136,https://www.bilibili.com/bangumi/play/ss6136
阿信,全1话,,,1,7967,7967,570,956,1679,159979,日本,0,1,6087,6087,https://www.bilibili.com/bangumi/play/ss6087?theme=movie
银河战国群雄传,全52话,,,1,4249,4249,154,282,1451,163412,日本,0,1,6074,6074,https://www.bilibili.com/bangumi/play/ss6074
踢向明天,全52话,,,1,2704,2704,98,154,387,179494,日本,0,1,6072,6072,https://www.bilibili.com/bangumi/play/ss6072
怪物弹珠 第二季 前篇,全24话,,,1,70099,47236,7076,1017,5685,551920,日本,0,1,6059,6059,https://www.bilibili.com/bangumi/play/ss6059
魔法提琴手 剧场版,全1话,,,1,3062,3062,63,57,195,51553,日本,0,1,6037,6037,https://www.bilibili.com/bangumi/play/ss6037?theme=movie
World Fool News 2,全12话,,,1,28257,28257,758,2530,2322,408340,日本,0,1,6035,6035,https://www.bilibili.com/bangumi/play/ss6035
少年阿贝 GO!GO!小芝麻 第二季,全32话,,,1,46207,13469,992,2458,1878,333564,日本,0,1,6010,6010,https://www.bilibili.com/bangumi/play/ss6010
The Snack World,全50话,,,1,3740,3740,771,312,2564,209178,日本,0,1,6004,6004,https://www.bilibili.com/bangumi/play/ss6004
我是国王,全12话,,,1,5901,5901,202,223,3031,123139,日本,0,1,599,599,https://www.bilibili.com/bangumi/play/ss599
团地友夫,全79话,,,1,3355,1600,3892,19668,1330,77701,日本,0,1,597,1730,https://www.bilibili.com/bangumi/play/ss597
爱米 -WE LOVE RICE-,全12话,,,1,29823,8574,98,2852,233,153805,日本,0,1,5957,28229855,https://www.bilibili.com/bangumi/play/ss5957
如风似云,全1话,,,1,7424,7424,64,17,710,29354,日本,0,1,5949,5949,https://www.bilibili.com/bangumi/play/ss5949?theme=movie
银河机攻队MAJESTIC PRINCE 新作动画,全1话,独家,,1,70906,18823,288,706,829,380325,日本,0,1,5942,5942,https://www.bilibili.com/bangumi/play/ss5942
裸狼,全52话,,,1,2822,2822,8419,1119,7678,297082,日本,0,1,5931,5931,https://www.bilibili.com/bangumi/play/ss5931
八神君的家庭事件,全3话,,,1,4243,4243,120,152,814,43664,日本,0,1,5927,5927,https://www.bilibili.com/bangumi/play/ss5927
ZEGAPAIN ADP,全1话,,,1,39297,9926,209,258,606,127798,日本,0,1,5926,5926,https://www.bilibili.com/bangumi/play/ss5926?theme=movie
咪咪流浪记,全51话,,,1,7041,7041,340,649,2035,180524,日本,0,1,5925,5925,https://www.bilibili.com/bangumi/play/ss5925
