title,episodes,mark,score,is_finish,follows,coins,likes,danmus,views(million),views,area,count,season_id,long_com,short_com,production,乙女,偶像,催泪,冒险,剧情,动作,动画,励志,历史,原创,喜剧,声控,奇幻,小说改,少儿,少女,恋爱,恐怖,惊悚,战斗,推理,搞笑,无,日常,时泪,智斗,机战,架空,校园,歌舞,治愈,泡面,游戏改,漫画改,热血,爱情,特摄,社团,神魔,科幻,穿越,美食,职场,萌系,萝莉,运动,音乐,魔法,year,month,day,season
越狱兔 第2季,13,免费,9.7,1,69074,18536,61562,27787,12.74,12739894,日本,670,5869,0,107,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2007,10,8,4
妖狐×仆SS SP,1,免费,9.7,1,480026,17040,28364,81807,5.42,5420017,日本,2189,5859,6,572,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,1,13,1
小林家的龙女仆,14,独家,9.7,1,8031228,1104554,1184359,5763335,335.03,335034866,日本,66481,5800,116,16559,京都动画,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,1,11,1
One Room,12,独家,9.7,1,2124595,142248,289598,672167,41.76,41759505,日本,12018,5798,24,4060,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1,11,1
兽娘动物园,12,会员专享,9.7,1,463259,29935,18027,274904,8.88,8879244,日本,9496,5796,72,3584,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,1,10,1
小魔女学园 TV版,25,独家,9.7,1,1140833,153891,150043,866209,35.24,35242692,日本,19778,5788,147,7012,无,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,1,9,1
精灵宝可梦 剧场版5：水都的守护神拉帝亚斯和拉帝欧斯,1,会员专享,9.7,1,67512,2925,4353,14833,0.99,989247,日本,601,5755,1,193,无,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,7,13,3
我的女神 战斗之翼,2,免费,9.7,1,52508,1674,3891,1941,0.68,682957,日本,227,5742,1,41,AIC,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,12,8,4
我是小甜甜,52,免费,9.7,1,27381,1068,1773,10078,0.69,687256,日本,217,5600,0,81,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1983,7,1,3
宇宙兄弟#0,1,会员专享,9.7,1,8143,391,4889,399,0.06,61500,日本,112,5571,0,35,A1 Pictures,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014,8,9,3
奇异太郎少年的妖怪绘日记,12,独家,9.7,1,947786,39524,58777,72275,21.29,21290990,日本,4342,5556,3,1322,Creators in Pack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2016,10,5,4
怪盗Joker 第四季,13,免费,9.7,1,55384,5820,11021,53977,2.85,2850099,日本,560,5545,5,205,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,10,3,4
编舟记,11,免费,9.7,1,263143,21846,7023,49919,2.99,2986069,日本,2819,5516,36,900,无,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,10,13,4
刀剑乱舞-花丸-,12,免费,9.7,1,1418780,70824,47442,1133850,27.67,27669525,日本,4476,5515,14,1374,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,10,3,4
女神异闻录3 剧场版 #4 Winter of Rebirth,1,会员专享,9.7,1,105224,7050,6470,39131,3.03,3034954,日本,917,5500,11,253,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1,23,1
乌龙派出所特别篇2016：THE FINAL 两津勘吉最后的一天,1,免费,9.7,1,19543,2519,2438,4954,0.68,676963,日本,309,5499,3,109,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,9,18,3
天体的秩序SP,1,免费,9.7,1,84349,5459,5274,9153,0.54,539230,日本,800,5488,2,215,无,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,7,24,3
闪电十一人 第三季 日语,60,免费,9.7,1,18833,1551,1615,49492,1.87,1867166,日本,340,5468,4,81,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2008,10,5,4
闪电十一人 第二季 日语,41,免费,9.7,1,14838,1119,1248,39403,1.31,1313997,日本,250,5467,3,59,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2008,10,5,4
闪电十一人,127,免费,9.7,1,41007,4266,12252,81285,4.51,4509143,日本,620,5466,0,237,OLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2008,10,5,4
无头骑士异闻录×2 结 DuFuFuFu!!,1,免费,9.7,1,152860,1171,303,24271,0.8,798353,日本,1130,5424,1,254,无,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,5,21,2
Da!Da!Da!,39,免费,9.7,1,48899,3898,5335,33093,2.79,2790797,日本,476,5407,2,175,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,4,4,2
星际牛仔 SP,6,免费,9.7,1,357685,31151,30610,119397,8.17,8171098,日本,1286,5383,5,331,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,10,23,4
