title,episodes,mark,score,is_finish,follows,Follows,coins,likes,danmus,views(million),views,area,count,season_id,long_com,short_com,production,乙女,偶像,催泪,冒险,剧情,动作,动画,励志,历史,原创,喜剧,声控,奇幻,小说改,少儿,少女,恋爱,恐怖,惊悚,战斗,推理,搞笑,无,日常,时泪,智斗,机战,架空,校园,歌舞,治愈,泡面,游戏改,漫画改,热血,爱情,特摄,社团,神魔,科幻,穿越,美食,职场,萌系,萝莉,运动,音乐,魔法,year,month,day,season,其他
面包带来和平！,13,出品,8.9,1,23.01 ,230102,6432,12426,35157,4.52,4522610,日本,509,3460,1,166,旭Production,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,4,4,2,0
橘色奇迹,13,会员专享,8.9,1,26.62 ,266221,8527,16202,41382,1.96,1961893,日本,1710,33169,29,607,Telecom Animation Film,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7,3,3,1
隐之王,26,免费,8.9,1,31.65 ,316475,5649,16684,42645,3.43,3425083,日本,1123,3220,18,366,J.C.STAFF,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,4,6,2,1
格林笔记 The Animation,12,独家,8.9,1,63.60 ,635959,28677,40099,106794,8.92,8917580,日本,3661,26280,42,1316,Brain's Base,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,1,11,1,1
迷宫物语,1,会员专享,8.9,1,1.11 ,11146,480,1326,421,0.07,74329,日本,136,26013,1,33,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1989,4,15,2,0
云之彼端，约定的地方,1,免费,8.9,1,105.26 ,1052575,29166,37299,70787,7.12,7116922,日本,2017,2545,12,527,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,11,20,4,1
爆走猎人,26,会员专享,8.9,1,5.14 ,51390,3762,4364,1585,0.3,297578,日本,150,2314,0,52,无,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,10,3,4,1
平行世界物语,14,免费,8.9,1,1.86 ,18582,379,467,7505,0.35,352150,日本,103,2217,0,34,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1999,4,8,2,1
X战记 剧场版,1,免费,8.9,1,5.93 ,59259,1193,3445,3193,0.43,431246,日本,198,2099,0,60,MADHOUSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,8,3,3,1
拜托了！老师,13,会员专享,8.9,1,18.07 ,180695,5663,10399,69736,2.74,2742773,日本,1044,2068,13,355,无,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1,10,1,1
正义小天使真绪,26,免费,8.9,1,2.60 ,25960,2851,3062,1986,0.25,245266,日本,116,2024,1,40,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2002,7,3,3,0
七武士,26,会员专享,8.9,1,12.92 ,129157,3153,14236,7921,1.96,1959554,日本,410,1908,4,128,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,6,12,2,1
火鸟,13,免费,8.9,1,2.85 ,28536,769,865,11331,0.45,448070,日本,199,1903,4,63,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,4,4,2,0
吟游默示录,13,免费,8.9,1,6.90 ,68975,389,2317,2865,0.29,289516,日本,116,1878,0,32,BeeTrain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,11,4,4,0
曙光少女,25,免费,8.9,1,3.58 ,35777,503,2426,1329,0.38,377555,日本,139,1848,2,45,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2005,10,6,4,0
赐予护女神的祝福,24,免费,8.9,1,7.54 ,75444,1340,3686,3486,0.72,718012,日本,218,1416,0,66,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006,10,5,4,0
逮捕令 全速前进,24,免费,8.9,1,2.66 ,26578,591,694,14536,0.55,551202,日本,209,1342,0,38,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,10,4,4,1
出租魔法使,24,免费,8.9,1,24.87 ,248693,3572,3280,38432,2.73,2727562,日本,419,1332,3,116,无,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10,7,4,1
神灵狩,22,免费,8.9,1,4.02 ,40195,3190,1346,4806,0.18,176284,日本,177,1329,5,65,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10,18,4,0
二十面相少女,22,免费,8.9,1,5.75 ,57477,892,884,15454,0.56,563264,日本,250,1246,6,72,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,4,12,2,0
