title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,tags,pub_date,long_com,short_com,production,cv,intro
蜡笔小新 呼风唤雨！会唱歌的屁股炸弹,1,会员专享,9.5,1,2258835,87916,3977,7415,24705,2160221,日本,546,1,"['萌系', '搞笑', '少儿']",2007-04-21,2,99,无,"野原新之助：矢岛晶子,野原美冴：楢桥美纪,野原广志：藤原启治,小白：真柴摩利,樱田妮妮：林玉绪",小新一家去冲绳旅行，本来是平凡的一天，然而小新的宠物小白却突然沾上了一枚威力强大的炸弹！这个炸弹是被奇异的外星生物“屁股星人”遗留下来的，其力量足以毁掉整个地球。全球65亿人的注意力都集中在了一只小狗身上！面对来自宇宙监视中心和美女恐怖集团白黑两道对小白的争夺，小新挺身而出誓死保护小白！
蜡笔小新 呼唤传说！三分钟嘎巴大进攻,1,会员专享,9.5,1,2258835,98306,4470,9947,25248,2526029,日本,602,1,"['萌系', '搞笑', '少儿']",2005-04-16,0,111,无,"野原新之助：矢岛晶子,野原美冴：楢桥美纪,野原广志：藤原启治,小白：真柴摩利,樱田妮妮：林玉绪",《蜡笔小新：风起云涌！不理不理3分钟大进攻》（常见翻译为“蜡笔小新：3分钟百变大进击”，日语：クレヨンしんちゃん 伝说を呼ぶブリブリ 3分ポッキリ大进撃，片假名为クレヨンしんちゃん でんせつをよぶブリブリ さんぷんポッキリだいしんげき）是《蜡笔小新》2005年4月16日发布的电影，系列第13作。此为武藤裕治接棒水岛努导演的首部剧场版作品。《风起云涌！不理不理3分钟大进攻》是《蜡笔小新》的第十三部剧场版。由日本漫画家臼井仪人创作的同名漫画改编的动画《蜡笔小新》的剧场版（电影版）系列。指东宝公司从1993开始每年发行一部电影...
哆啦A梦 新大雄的恐龙,1,免费,9.5,1,1926853,49260,3947,9795,14111,1294290,日本,486,1,"['机战', '时泪', '穿越', '冒险']",2006-03-04,3,120,无,"哆啦A梦：水田山葵,大雄：大原惠美,静香：嘉数由美,胖虎：木村昴,小夫：关智一,皮皮：神木隆之介,黑衣男子：船越英一郎,德尔曼斯坦：内海贤二,大雄的妈妈：三石琴乃,大雄的爸爸：松本保典",《新大雄的恐龙》（ドラえもん のび太の恐竜2006）是2006年3月4日公映的哆啦A梦电影系列作品。该作品也是水田山葵新声优阵的第一部哆啦A梦电影作品。内容改编自‘大雄的恐龙’，但实际上与原作有大幅度变更。放映院线为东宝公司。DVD于2006年12月20日发售。另外在特别版中附带了渡边步绘制的绘本“大雄的恐龙”。另外还发行了‘哆啦A梦‧大雄的恐龙2006 DS’。此外冈田康则也绘制了漫画‘哆啦A梦“大雄的恐龙2006 DS”原创喜剧’。该作品是重制作品，与旧作相比，许多人都持恶评。很多旧作的爱好者也严厉批评本作。不过，票房收入却高达32亿800...
头文字D Extra Stage,1,会员专享,9.5,1,784417,34322,1178,3132,4317,442069,日本,230,1,"['漫画改', '热血', '运动']",2001-03-22,0,29,Pastel,"佐藤真子：根谷美智子,庄司慎吾：藤原启治,沙雪：嘉数由美,中里毅：桧山修之,武内树：岩田光央,池谷浩一郎：矢尾一树,健二：高木涉,祐一：西村知道,高桥凉介：子安武人,高桥启介：关智一","在那神话般的暑假结束后，群马县的山路赛车手们仍然陷于一片骚动的热潮当中。先是怪物般的ＡＥ８６连战连胜的神话，然后是来自京都的ＬＡＮＥＶＯ军队帝王队的挑战，闪电车队与夜婴车队都相继败在ＬＡＮＥＶＯ的车轮下，下一个目标将是谁呢？曾在碓冰山道与拓海比赛过，虽然输掉了“碓冰山道最快”的称号，但却得到了继续赛车的勇气的佐藤真子，正在为自己的感情而烦恼着。在好友沙雪的撮合下，一位来自妙义夜婴车队的成员对她展开了追求，然而对方却希望她放弃赛车……感情,或者是赛车，两者在真子心中孰轻孰重呢？"
蜡笔小新之云黑斋的野心,1,会员专享,9.5,1,2258836,81561,4493,7412,18637,1753866,日本,499,1,"['萌系', '时泪', '少儿', '穿越']",1995-04-15,1,82,无,"野原新之助：矢岛晶子,野原美冴：楢桥美纪,野原广志：藤原启治,小白：真柴摩利,樱田妮妮：林玉绪",《云黑斋的野心》是《蜡笔小新》的第三部剧场版。由日本漫画家臼井仪人创作的同名漫画改编的动画《蜡笔小新》的剧场版（电影版）系列。指东宝公司从1993开始每年发行一部电影版蜡笔小新故事。在原作者臼井仪人逝世后曾一度传言2009年为最后一部剧场版（后被澄清）按惯例每年4月份上映。未来人歇鲁跑到日本的战国时代改变了历史，时空巡逻队铃可发现了异状，正预备前往，没想到在时光隧道中遭受到攻击，不小心掉进二十世纪的小新家。铃可借由小白向野原一家求救，于是野原一家踏上时光之旅回到战国时代。遇见了吹雪丸的他们，与他一同前往云黑城...
蜡笔小新之动感超人大战泳装魔王,1,会员专享,9.5,1,2258835,92005,5967,11088,25245,2390626,日本,736,1,['无'],1993-07-24,1,144,无,"野原新之助：矢岛晶子,野原美冴：楢桥美纪,野原广志：藤原启治,小白：真柴摩利,樱田妮妮：林玉绪",动感超人的动感石头被泳装魔王抢走了，因而无法回到原来的世界，于是指派小新一家人成为动感战士前往另一个世界，这时另一个世界的人纷纷被变成泳装人，小新听了莉莉和博士的说明后，决定协助动感超人克服危机，他和动感超人能打败魔王挽救地球的和平吗...
哆啦A梦 大雄和发条都市冒险记,1,免费,9.5,1,1926853,59791,19924,36870,174850,5507539,日本,404,1,"['时泪', '少儿', '架空', '冒险']",1997-03-08,0,72,LIDENFILM,"骨川小夫：肝付兼太,源静香：野村道子,哆啦A梦：大山のぶ代",大雄用哆啦A梦在22世纪的中元节大拍卖抽奖中抽得的小行星制作了一个发条都市，但是由于落雷事故导致动物进化，加上犯罪分子潜入发条都市，以及不知本来面目的金色怪物，发条都市将面临怎样的命运……。
干支魂～猫客万来～,1,会员专享,9.5,1,86975,86192,2549,13810,1012,576799,日本,372,1,"['原创', '奇幻', '萌系']",2021-05-26,2,127,白组,"小喵(猫)：村川梨衣,小吱(子)：大原沙耶香,小哞(丑)：松井惠理子,小纹(寅)：巽悠衣子,小兔(卯)：相坂优歌,小龙（辰）：内田真礼,小纱(巳)：生天目仁美,小马(午)：小泽亚李,小咩(未)：渕上舞,小奇(申)：户田惠,小雏(酉)：佐佐木未来,小狗(戌)：本多真梨子,小瓜(亥)：花守由美里,天户岳：下野紘,店长(神)：下妻由幸,小呐(？)：铃木爱奈",很久很久以前，日出之国的神明，为了保护这个刚刚出生的土地，选出了十二位神使举行了祭典。被选为十二生肖的“干支娘”肩负起了永远保护这块土地的任务，与没有被选上的猫一起。这是一个从很久以前就开始了的，关于猫和十二位干支娘的故事。
与汪汪喵喵同居的开心日常 中配版,24,免费,9.5,1,156104,12776,2117,74397,578,991292,日本,189,1,"['漫画改', '日常', '萌系', '治愈']",2021-04-02,1,74,Team Till Dawn,"小汪汪：醋醋,喵大人：夏磊,主人（松本英吉）：冯骏骅","一只精神满满,可爱到爆的狗狗。一只凶神恶煞却让人讨厌不起来的猫猫。铲屎官与它们的充满欢笑与感动的每一天。你是犬派？还是猫派？由超级可爱的猫猫狗狗还有铲屎官带来的猫狗双全的动画即将开始。"
强袭魔女 剧场版,1,免费,9.5,1,428335,66376,1965,1961,7983,795695,日本,530,1,"['热血', '科幻', '奇幻', '战斗']",2012-03-17,4,141,无,"服部静夏：内田彩,宫藤芳佳：福圓美里,海德玛瑞・W・施瑙佛：植田佳奈,艾拉·伊尔马塔·尤蒂莱南：大橋歩夕,歌尔特露德·巴克霍隆：園崎未恵,艾莉卡·哈特曼：野川さくら,夏洛特‧E‧叶格：小清水亚美,..","《强袭魔女》（STRIKE WITCHES）是一部改编自鬼才岛田文金同名作品的动画系列，整个系列企划由角川书店与Projekt Kagonish联手推进。CAST阵容中包括有名冢佳织,田中理惠,泽城美雪等等大人气女声优。本作讲述了一群可以使用名为STRIKE UNIT的飞行装置,并拥有“魔力”的少女们为了世界而与异形们战斗的架空科幻题材故事。在兵器娘大师岛田フミカネ的画笔下，呈现出的就是萝莉+机械+兽耳的犯规组合——这种绝对萌系与精致世界观给这部作品带来了庞大的粉丝群，在高人气下进行了多方面的衍生发展，其中除了TV动画化，还有漫画,小说,游戏与手办..."
