title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,tags,pub_date,long_com,short_com,production,cv,intro
路人超能100 III(灵能百分百 第三季),6,独家,9.9,0,5139314,4994916,201746,431421,112107,28308891,日本,8217,1,"['漫画改', '奇幻', '热血', '战斗']",2022-10-05,18,3075,BONES,"影山茂夫：伊藤节生,灵幻新隆：樱井孝宏,小酒窝：大冢明夫,影山律：入野自由,花泽辉气：松冈祯丞,芹泽：星野贵纪,暗田留：种崎敦美,蕾：佐武宇绮,米里一：岛村侑,乡田武藏：关俊彦,鬼瓦天牙：细谷佳正",一旦达到100时便会发生情况的青春超能力故事。某个数值达到「100」时就会爆发的少年——龙套。他看似平平无奇，其实拥有着强大的超能力。他的师父，冒牌灵能力者——灵幻新隆开有一家灵类咨询所。在帮师父处理棘手委托的每一天里，希望度过平淡青春的龙套，能否迎来平稳的生活呢？以青春为动力，超能力失控在即！备受全世界期待的第三季正在制作中！
海绵宝宝 中文配音,161,免费,9.9,1,1831107,1360931,455782,1880822,965406,243619346,美国,31272,1,"['少儿', '搞笑']",1999-07-17,36,7362,无,"海绵宝宝：魏伯勤 / 陈浩(#01-87，#113-126),派大星：符爽 / 孙悦斌(#01-87，#113-126),章鱼哥：曹冀魯 / 李易(#01-87，#113-126),蟹老板 ：宋克军 / 白涛(#01-87，#113-126)","海绵宝宝是方块形的黄色海绵，住在比基尼海滩（裤头村,比奇堡）的一个菠萝里，他的宠物是一只会“猫~猫~”叫的海蜗牛小蜗，海绵宝宝喜欢捕捉水母，职业是蟹堡王（The Krusty Krab）里的头号厨师。派大星和姗迪都是他的朋友。海绵宝宝总是能给平静的世界制造麻烦，虽然闹出一些笑话，不过他总能摆脱困境，然后又制造出新的麻烦。"
银魂,201,会员专享,9.9,1,3044054,2939641,1265690,3030624,1997635,282916518,日本,64363,1,"['漫画改', '热血', '搞笑', '战斗']",2006-04-06,119,18413,Sunrise,"坂田银时：杉田智和,志村新八：阪口大助,神乐：钉宫理惠,定春：高桥美佳子,志村妙：雪野五月,登势：くじら,凯瑟琳：杉本优,近藤勋：千叶进步,土方十四郎：中井和哉,冲田总悟：铃村健一,山崎退：太田哲治,桂小太郎：石田彰,坂本辰马：三木真一郎,高杉晋助：子安武人,神威：日野聪",江户时代末期， 被称为“天人”的谜之异星人来袭。于是地球人与天人之间的战争瞬即爆发，为数众多的武士和攘夷派志士都参与与天人的战斗，幕府见识到天人强大的实力后，最终向天人低头，放弃武士不管，擅自与天人签订不平等条约，准许他们入国。其后更颁布了“废刀令”，夺走了武士的刀，使他们无力反抗。自此，天人横行霸道，幕府为天人所影响，甚至被控制，成为了“傀儡政权”。在这样的时代，有一个武士与同伴愉快地过著异想天开的生活。
猫和老鼠 旧版,55,免费,9.9,1,3191965,2937757,625932,1262188,2266595,298401329,美国,69101,1,"['搞笑', '日常', '少儿']",1940-02-10,47,20082,无,0,机灵老鼠与笨猫的故事，堪与米老鼠和唐老鸭的故事相媲美。没有动物世界中恃强凌弱的残酷，只有两个邻居之间的日常琐事和纷争，诸如杰瑞偷吃了汤姆的奶酪，汤姆把捕鼠器放到了杰里的洞门口等等，中间穿插的无数恶作剧和幽默片断，让人感受到久违的天真快意。它们之间的关系常在一瞬间发生变化——化敌为友或势不两立：为敌时绞尽脑汁，互不相让；为友时，亲如兄弟，谁也不记仇。
你的名字。,1,免费,9.9,1,4321282,3157205,1185644,1002611,2238026,95287799,日本,104323,2,"['爱情', '剧情', '动画']",2016-08-26,247,27525,无,"神木隆之介,上白石萌音,长泽雅美,市原悦子,成田凌,悠木碧,岛崎信长,石川界人,谷花音,寺杣昌纪,大原沙耶香,井上和彦,茶风林,加藤有花,花泽香菜,寺崎裕香",在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶。不知从何时起，三叶在梦中就会变成一个住在东京的高中男孩。另一方面，住在东京的高中男孩立花泷则总在梦里来到陌生的小山村，以女孩子的身份过着全新的生活。许是受那颗神秘彗星的影响，立花和三叶在梦中交换了身份。
路人超能100 II(灵能百分百 第二季),13,独家,9.9,1,5139316,2954676,595849,440997,1015368,113522111,日本,82053,1,"['热血', '奇幻', '战斗', '漫画改']",2019-01-07,167,27273,BONES,"影山茂夫（龙套）：伊藤节生,灵幻新隆：樱井孝宏,影山律：入野自由,花泽辉气：松冈祯丞,鬼瓦天牙：细谷佳正,米里一：藤村步,暗田留：种崎敦美,蕾：佐武宇绮","当有什么东西达到“100”的时候，就会爆发的少年·路人（龙套）。外表极其普通——不如说是不起眼。不擅长迎合气氛的他，实际上拥有着强力的超能力。盯上了这样的他的能力，而接连现身的伪灵能力者以及宗教团体,不良头头,谜之秘密组织……。在追求普通青春的龙套之处，平稳的日子究竟会不会到来？"
百变小樱,70,免费,9.9,1,4279185,2144491,267898,498056,8134085,114839974,日本,29534,1,"['少女', '魔法']",1998-04-07,96,8893,MADHOUSE,"木之本樱：丹下樱,可鲁贝洛斯：久川绫,李小狼：熊井统子,大道寺知世：岩男润子,月城雪兔：绪方惠美,木之本桃矢：关智一,李莓铃：野上由加奈,观月歌帆：篠原惠美",木之本樱，是擅长体育的小学4年级学生。某天，小樱从学校回家，在平常都没有人的地下书房发现似乎有什么人的样子。小樱走下去一看，那里有一本闪耀着金色光芒的书。里面装有牌，然而，在读写在上面的文字的时候，刮来了剧烈的风，牌四处飞散开去。从书的最后，出现了名为可鲁贝洛斯的奇妙生物，书中写着库洛牌的封印被解开之时，灾难就会降临世间之类的话。随后，可鲁贝洛斯将封印的钥匙交给了小樱，令她成为收复牌的魔卡捕获者。当晚，小樱用魔法与实体化的魔卡对决……
银魂 第二季,64,会员专享,9.9,1,3044054,1660163,264691,705268,536096,79629844,日本,21471,1,"['漫画改', '热血', '搞笑', '战斗']",2011-04-04,21,5990,Sunrise,"坂田银时：杉田智和,志村新八：阪口大助,神乐：钉宫理惠,定春：高桥美佳子,志村妙：雪野五月,登势：くじら,凯瑟琳：杉本优,近藤勋：千叶进步,土方十四郎：中井和哉,冲田总悟：铃村健一,山崎退：太田哲治,桂小太郎：石田彰,坂本辰马：三木真一郎,高杉晋助：子安武人,神威：日野聪","随着天人（宇宙人）的袭击，城镇和整个江户的价值观发生了改变，宇宙人,高层建筑,摩托车什么的都出现在了世界上。此时依然存在着有着不变灵魂的最后的武士，这个男人的名字是坂田银时，通称万事屋・阿银。阿银是个马虎,鲁莽并且超爱甜食的人，每天在悠哉和若无其事中度过。在与伙伴们共度的时光中，阿银过着充满着笑与泪的温暖生活。"
强风吹拂,23,会员专享,9.9,1,2268672,2268670,614870,599062,679128,64662088,日本,84352,1,"['运动', '励志', '小说改', '热血']",2018-10-03,409,32754,Production I.G,"藏原走：大塚刚央,清濑灰二：丰永利行,柏崎茜：入野自由,城太郎：榎木淳弥,城次郎：上村祐翔,杉山高志：内山昂辉,坂口洋平：北泽力,岩仓雪彦：兴津和幸,平田彰宏：星野贵纪,穆萨·卡马拉：株元英彰,胜田叶菜子：木村珠莉,榊浩介：河西健吾,田崎源一郎：中村浩太郎",夜晚。如同逃跑一般奔驰在城市中的藏原走。他的侧面，突然有辆自行车冲来。素不相识的男子，对阿走发问了。“喂！你很喜欢跑步吧！”男子的名字是清濑灰二。 就这样，阿走在灰二的引导下，到达了名为竹青庄的老旧公寓。9名个性丰富的住民住在那里。阿走来到最后的空房间，虽然感到困惑，却仍然被强行留下。他怎么也没有想到，自己会成为这里的“第10个男人”……。
家庭教师HITMAN REBORN!,203,免费,9.9,1,1812829,1811909,267924,446239,3653317,133062669,日本,46359,1,"['奇幻', '热血', '战斗', '漫画改']",2006-10-07,272,15887,ARTLAND,"里包恩：ニーコ,成田剑,泽田纲吉：国分优香里,六道骸：饭田利信,笹川了平：木内秀信,库洛姆·骷髅：明坂聪美,云雀恭弥：近藤隆,山本武：井上优,狱寺隼人：市濑秀和",本片是围绕彭格列第十代首领泽田纲吉与其家族成员的成长而展开的。彭格列初代后裔泽田纲吉是一个做什么都不行的“废柴纲”，但是为了培养成为彭格列家族首领，从意大利来了的里包恩负责教导纲吉。内心善良的他不愿意伤害别人，但他为了保护同伴而开始承担起责任，成长为一名优秀的首领。
碧蓝之海,12,独家,9.9,1,4651248,4651248,1018560,1105791,1060663,152271318,日本,133927,1,"['搞笑', '校园', '社团', '运动']",2018-07-14,204,45043,ZERO-G,"北原伊织：内田雄马,今村耕平：木村良平,时田信治：安元洋贵,寿龙次郎：小西克幸,古手川千纱：安济知佳,古手川奈奈华：内田真礼,滨冈梓：行成桃姬,吉原爱菜：阿澄佳奈","北原伊织升入大学后，开始寄住在伊豆的叔父所经营的潜水用具店“Grand Blue”。传入耳中的波涛声,炽烈照射的太阳,开始一起生活的可爱表姐妹……青春的大学生活！这样的伊织所面临的却是——除了野球拳以外的猜拳一概不知的强壮男人们！！刚一入学就被大学潜水社团“Peek a Boo”所盯上了的伊织，在会长时·田信治和三年级学生·寿龙次郎的怂恿下，不知不觉已经身为社团的一员加入了他们的愚蠢喧嚣中。在大学中认识的虽然长得帅但性格却很遗憾的宅男——今村耕平也加入其中，他们的青春向着越来越奇怪的方向转进。明明在寄住的地方有着可爱的表..."
紫罗兰永恒花园 剧场版 ,1,独家,9.9,1,8970500,8061352,498744,593493,348736,24451408,日本,65310,2,"['剧情', '爱情', '奇幻', '动画']",2021-12-25,460,21918,无,"石川由依,浪川大辅,子安武人,木内秀信,户松遥,内山昂辉,远藤绫,茅原实里,水桥香织,佐藤利奈,松元惠,诸星堇,中田让治,间宫康弘,宫本充,筱原惠美,京田尚子,引坂理绘,川澄绫子,远藤大智,MayunoYasokawa,,中文配音版工作人员：,薇尔莉特 配音 叶知秋,基尔伯特 配音 阿杰,霍金斯 配音 宝木中阳,迪特福利特 配音 瞳音,,爱丽丝 配音 常蓉珊,贝内迪克特 配音 李兰陵,嘉德丽雅 配音 小连杀,艾丽卡 配音 沈念如,,尤里斯 配音 杨凝,琉卡 配音 幽舞越山,尤里斯父亲 配音 图特哈蒙,尤里斯母亲 配音 刘芊含,西昂 配音 祁柒,,基尔伯特父亲 配音 张遥函,老人 配音 高增志,市长 配音 叶保华,市长夫人 配音 伍凤春,,黛西 配音 闫夜桥,黛西父亲 配音 汤水雨,黛西母亲 配音 谷子,娜丽（青年）：黑特,娜丽（老年）：晏积瑄,,少年基尔伯特 配音 常蓉珊,少年迪特福利特 配音 刘明月,莉莉安 配音 周童,安的母亲：沈念如,邮局工作人员：藤新,,其他配音演员：姜英俊,戈昕宇,韩佳影,莫宇微,,译制团队：藤韵文化,导演：藤新,常蓉珊,,演员统筹：杜小星,,对白录音：赵朋飞",从事代笔职业的她，名叫薇尔莉特·伊芙加登。在让人们伤痕累累的战争结束后数年，崭新的时代来临，世界也逐渐恢复平稳，生活也随着新技术的开发而改变，大家都在向前迈进。但是，薇尔莉特每天都在思念“那个人”，她坚信他一定还活着。直到某天，她在邮局的仓库里发现了一封收件人不明的信……
排球少年！！,25,会员专享,9.9,1,1371785,1242536,261019,368567,966655,51671462,日本,40802,1,"['漫画改', '热血', '校园', '运动']",2014-04-06,113,13659,无,"日向翔阳:村瀬歩,影山飞雄:石川界人,泽村大地:日野聡,菅原孝支:入野自由,田中龙之介:林勇,东峰旭:細谷佳正,西谷夕:岡本信彦,月岛萤:内山昂輝,山口忠:斉藤壮馬",小时候，日向翔阳从电视上看见排球比赛，乌野高中的一名小个子在球上的英姿，简直就是个“小巨人”，对此非常深刻，并开始迷上排球，一直想成为“小巨人”一样的人。初中时排球社不够人数，只好默默等待，后来在终于有新成员后，参与了第一次也是最后一赛的比赛，不幸对决了最强队伍，结果当然落败。单凭自己的话，是绝对无法看见那景色的，不是自己一人的话，或许就能看见了…为了能够打出“胜利”的比赛，翔阳努力考入乌野高中，为了实现成为“小巨人”的排球梦想！
JOJO的奇妙冒险 星尘远征军 埃及篇,24,独家,9.9,1,8776692,4327750,494124,823993,4993662,149910717,日本,73687,1,"['漫画改', '战斗', '奇幻', '冒险']",2015-01-09,115,15881,david production,"空条承太郎：小野大辅,花京院典明：平川大辅,简·皮耶尔·波鲁纳雷夫：小松史法,乔瑟夫·乔斯达：石冢运升,穆罕默德·阿布德尔：三宅健太,伊奇：福圆美里,迪奥·布兰度（DIO）：子安武人,格雷普莱：长克巳,冒牌提尼尔船长：玄田哲章,永恒（Forever）：山口胜平,诅咒的迪波：㭴井笙人,拉伐索尔：川田绅司,J·凯尔：千叶繁,荷尔·荷斯：木内秀信,妮娜：雪野五月,ZZ：岩崎征实,恩雅婆婆：铃木玲子,钢铁阿丹：岸尾大辅,阿拉伯胖子：坂卷学,男孩婴儿（Mannish Boy）：大谷育江,卡梅欧：有本钦隆,蜜特拉：久川绫,恩多尔：伊藤健太郎,欧因哥：保村真,波因哥：熊井统子,阿努比斯：松本保典,玛莱雅：高垣彩阳,阿雷西：小野坂昌也,丹尼尔·J·达比：银河万丈,达伦斯·T·达比：诹访部顺一,瓦尼拉·艾斯：速水奖",在乔斯达家的宿敌·迪奥（DIO）复活的影响下，一位年轻人——空条承太郎，得到了名为“幽波纹（替身）”的能力。为了拯救因迪奥的诅咒而倒下的母亲荷莉，空条承太郎与外祖父·乔瑟夫以及伙伴们，一起为了打倒迪奥而展开旅程。在漫长的旅途当中，承太郎等人一次又一次地击退刺客，最后终于抵达迪奥所在的埃及。然而，为了阻止他们前进，各种怪异可怕的新一波敌影不断逼近——
迪迦奥特曼（中配）,52,会员专享,9.9,1,2296550,1715113,1121316,1902461,1159250,131171399,日本,94534,1,"['战斗', '科幻', '热血', '特摄']",1996-09-07,131,33475,无,"制作：圆谷一夫,监修：高野宏一,制片：笈田雅人,诸富洋史,位下博一,副制片：涩谷浩康,竹田青滋（字幕未列名）,导演：村石宏实,松原信吾,川崎乡太,神泽信一,原田昌树,冈田宁,冬木椴（神泽信一）,北浦嗣巳,石井てるよし,实相寺昭雄,编剧：右田昌万,小中千昭,长谷川圭一,宫泽秀则,川上英幸,武上纯希,儿玉宜久,河崎实,村石宏实,中崎一嘉,神泽信一,太田爱,平野靖士,川崎乡太,斋藤和典,萨川昭夫 ,大西信介,上原正三,特技监督：高野宏一,神泽信一,北浦嗣巳,村石宏实,川崎乡太,大冈新一,服部光则,摄影棚：东宝ビルト,服装：东宝コスチューム,角色设计：丸山浩,机械&小配件设计：PLEX,奥特曼&怪兽设计：丸山浩,造形：开米プロ,マーブリングファインアーツ,音乐：矢野立美,出品：圆谷株式会社,每日放送,读卖广告社,主演: 长野博 吉本多香美 大泷明利 影丸茂树 增田由纪夫 古屋畅一 高树澪","“迪迦”一词意为印度尼西亚语中神圣的数字""3""。约在三千万年前，人类处于超古代文明时期，守护人类的巨人们发生内战，原是地球最强的黑暗战士迪迦在受幽怜的感动后选择成为光之战士，使自己的黑暗力量长眠。奇杰拉花朵盛开，人们全部都陷入了因奇杰拉的花粉而产生的幻觉，认为已不再需要巨人。光之巨人不能干涉人类的选择，于是巨人把自己战斗的躯体隐藏在金字塔后，化作光离开了地球，回到了自己的故乡。邪神加坦杰厄带着毁灭的黑暗降临，超古代文明毁灭。21世纪初期，地球不再有侵略和战争，人类期盼已久的和平终于到来了。地球防卫军也因此..."
精灵宝可梦 无印,271,会员专享,9.9,1,1931379,827347,97067,218547,2189189,62377963,日本,9248,1,"['热血', '战斗', '励志', '少儿']",1997-04-01,21,2316,OLM,"小智：松本梨香,皮卡丘：大谷育江,小建 / 小刚：上田祐司,小霞：饭冢雅弓,武藏：林原惠美,小次郎：三木真一郎,火箭队的喵喵：犬山犬子","《精灵宝可梦》动画改编自同名游戏，讲述了立志成为宝可梦大师的小智和皮卡丘结伴旅行的故事。一路上，小智邂逅了不少同伴,劲敌,好友，和他们展开了一次又一次冒险。《精灵宝可梦 无印》共分为关都地区石英联盟,橘子群岛橘子联盟,城都地区城都联盟三个部分，因本作品无副标题，故又称为""无印""篇。"
ReLIFE,13,独家,9.9,1,2431890,2335766,349688,428540,325630,34408982,日本,45084,1,"['校园', '恋爱', '搞笑', '治愈']",2016-07-01,150,15338,TMS Entertainment,"日代千鹤:茅野愛衣,海崎新太:小野賢章,小野屋杏:上田麗奈,夜明了:木村良平,大神和臣:内田雄馬,狩生玲奈:戸松遥,玉来萌香:茜屋日海夏,犬饲晓:杉山紀彰,犬饲堇:白石涼子",海崎新太（27岁）在作为新毕业生进入的公司工作了3个月就辞职了。之后他的就职活动也不顺利。双亲寄来的生活费也中断了，不得已只好回到乡下。能够倾听他烦恼的朋友和女友全都没有……穷途末路的海崎面前出现了一位神秘人物·夜明了。夜明向海崎提出，要他参加以尼特为对象的社会复归程序“ReLIFE”。其内容是，利用神秘的秘药，仅仅让外表回复年轻，并在一年内以高中生的身份去读高中——。
银魂 第三季,51,会员专享,9.9,1,3044054,1619151,195128,505665,358388,53684223,日本,13517,1,"['漫画改', '热血', '搞笑', '战斗']",2021-03-19,26,3158,无,"坂田银时：杉田智和,志村新八：阪口大助,神乐：钉宫理惠,定春：高桥美佳子,志村妙：雪野五月,登势：くじら,凯瑟琳：杉本优,近藤勋：千叶进步,土方十四郎：中井和哉,冲田总悟：铃村健一,山崎退：太田哲治,桂小太郎：石田彰,坂本辰马：三木真一郎,高杉晋助：子安武人,神威：日野聪","随着天人（宇宙人）的袭击，城镇和整个江户的价值观发生了改变，宇宙人,高层建筑,摩托车什么的都出现在了世界上。此时依然存在着有着不变灵魂的最后的武士，这个男人的名字是坂田银时，通称万事屋・阿银。阿银是个马虎,鲁莽并且超爱甜食的人，每天在悠哉和若无其事中度过。在与伙伴们共度的时光中，阿银过着充满着笑与泪的温暖生活。"
日常,26,独家,9.9,1,3747968,3747967,335003,503932,1246668,64536401,日本,66561,1,"['萌系', '搞笑', '日常', '漫画改']",2011-04-02,162,20137,京都动画,"阪本先生：白石稔,博士：今野宏美,东云名乃：古谷静佳,水上麻衣：富樫美铃,长野原美绪：相沢舞,相生祐子：本多真梨子,玉村：味里,笹原幸治郎：川原庆久",《日常》改编自あらゐけいいち连载于《月刊少年ACE》的同名漫画。以“时定高中”的高中女生们异想天开的日常——“非日常”日常为中心，展开一个充满各种笑点的可爱故事。
3月的狮子 第二季,22,免费,9.9,1,1588162,613662,146772,86901,280166,16374886,日本,20323,1,"['日常', '励志', '漫画改']",2017-10-15,185,8154,SHAFT,"桐山零：河西健吾,川本明里：茅野爱衣,川本日向：花泽香菜,川本桃：久野美咲,二海堂晴信：冈本信彦,幸田香子：井上麻里奈,高桥勇介：细谷佳正,岛田开：三木真一郎,三角龙雪：杉田智和","这是有关各式各样的人们取回什么的温馨故事，同时也是有关斗争的故事。主人公桐山零，幼时因为意外事故失去了家人，是一个背负着沉重的孤独的17岁将棋棋士。独自居住在东京旧市镇桐山零遇见了明里,日向,桃三姐妹，少年桐山零因此发生了改变。"
前进吧！登山少女 第四季,6,独家,9.9,0,516443,494786,8366,42349,5767,804683,日本,696,1,"['漫画改', '搞笑', '治愈', '日常']",2022-10-04,3,219,8bit,"雪村葵：井口裕香,仓上日向：阿澄佳奈,斋藤枫：日笠阳子,青羽可可奈：小仓唯,黑崎穗香：东山奈央,千手院小春：岩井映美里","继登上了标高197m的天览山后，葵和日向二人又登上了599m的高尾山,1786m的三峠山，不断创下新高。而后她们也登顶了那座回忆中的山——谷川岳。在周游关东名峰的过程中结识了可可奈,枫以及穗香等人，她们的户外活动也由此变得多姿多彩。而在丰富了登山知识,工具并练就了体力后，葵决心向更高的目标进发。"
银河英雄传说：全新命题 策谋,6,独家,9.9,0,541025,524499,8221,36585,5678,1059518,日本,644,1,"['小说改', '架空', '科幻', '智斗']",2022-09-30,2,113,无,"莱因哈特·冯·罗严克拉姆：宫野真守,杨威利：铃村健一,尤里安·敏兹：梶裕贵,巴尔·冯·奥贝斯坦：诹访部顺一,渥佛根·米达麦亚：小野大辅,奥斯卡·冯·罗严塔尔：中村悠一,亚历克斯·卡介伦：川岛得爱,菲列特利加·格林希尔：远藤绫,华尔特·冯·先寇布：三木真一郎,安妮罗洁·冯·格里华德：坂本真绫,希尔格尔·冯·玛林道夫：花泽香菜,奥利比·波布兰：铃木达央,达斯提·亚典波罗：石川界人,安德烈·鲁宾斯基：手冢秀彰,多敏尼克·尚·皮埃尔：圆崎未惠,鲁伯特·凯塞林：野岛健儿,旁白：下山吉光",莱因哈特终于掌握了帝国的大权，其改革获得了国民的支持。而自由行星同盟这边，不败的魔术师杨威利等人的努力总是徒劳无功，政府腐败导致国力显著倒退。就在两国势力平衡发生重大变化的时刻，第三势力费沙的自治领主鲁宾斯基决定放弃援助同盟，转而编织一个巨大的阴谋。莱因哈特得知了他绑架帝国幼帝流亡同盟的计划，却决定利用此事实现自己的野心。杨威利也意识到同盟正面临最严重的危机。而就在此时，正式参军的尤里安接到调令，前往费沙担任驻地武官。
俺物语！！,24,会员专享,9.9,1,1598743,1598743,494357,441392,1508738,40354756,日本,57347,1,"['漫画改', '日常', '校园', '恋爱']",2015-06-24,149,21445,MADHOUSE,"刚田猛男：江口拓也,砂川诚：岛崎信长,大和凛子：潘惠美,砂川爱：井上喜久子,织田隼人：浪川大辅,刚田百合子：青木和代,刚田丰：玄田哲章,栗原修：榎木淳弥,山崎菜菜子：北川里奈,西城麻里耶：前田玲奈,天海悠纪华：茅野爱衣","故事主要以有着魁梧的身材和耿直的性格,深受男性们爱戴却没有女人缘的高中1年级学生刚田猛男，与温柔的少女大和凛子，以及猛男的幼时好友——帅哥砂川诚为中心展开，主要描写了他们相互的理解以及彼此的交流。"
相合之物,12,会员专享,9.9,1,516107,516108,84239,235862,67307,9846658,日本,13547,1,"['漫画改', '日常', '治愈', '美食']",2022-04-06,39,5560,ENCOURAGE FILMS,"纳野和：岛崎信长,雪平一果：结木梢,纳野平伍：小山力也,纳野富纪：大原沙耶香,巽政：岩崎博,鹤姨：雪野五月,濑户咲季：永冢拓马,堀河美弦：铃木实里,松风佳乃子：高桥未奈美,私市绯色：早见沙织,雪平巴：松冈祯丞,雪平真理：坂本真绫,纳野一光：及川以造,纳野倭世：吉田美保",前往东京追梦的纳野和得知父亲住院的消息后，毅然决定回老家继承家里名为绿松的日式点心铺。但此时他的家里已经有了一位继承人候补。这位名叫雪平一果的少女在纳野家寄住并在店里帮忙，如今已成为店里的活招牌。阿和被托付当一果的父亲，但一果却因为他曾经拒绝继承家业的理由而对他十分冷漠。然而在两人工作的过程中，阿和知道了一果的另一面…以京都为舞台，日式点心维系着人与人之间的温情，书写出一篇动人的温馨故事
玉子爱情故事,1,免费,9.9,1,3924331,2455151,361569,248862,623599,22901035,日本,41457,1,"['校园', '少女', '恋爱']",2014-04-26,90,12651,京都动画,"北白川玉子：洲崎绫,大路饼藏：升望 / 田丸笃志,汤本长治：津久井教生,大路道子：雪野五月,大路吾平：立木文彦,北白川福：西村知道,常盘绿：金子有希,牧野神奈：长妻树里","时已入春，已经进入高中三年级的北白川玉子仍然总是想着打糕的事情。春天傍晚的放学路上，玉子好友四人组谈论着关于将来出路的事情。大家虽然对此感到不安，但似乎对将来的事情都有好好地考虑过。玉子也无意中说出自己将来想要继承家业。同时，住在玉子家的对面,一直和她在一起的饼藏，也下定了某种决心。——周围的各种事物都在逐渐改变着，一点一点地动摇着玉子的心。"
街角魔族 第二季,12,独家,9.9,1,2050806,1905698,124698,341292,85017,11988956,日本,19788,1,"['漫画改', '搞笑', '日常', '萌系']",2022-04-07,56,7232,J.C.STAFF,"吉田优子：小原好美,千代田桃：鬼头明里,莉莉丝：高桥未奈美,阳夏木蜜柑：高柳知叶,佐田杏里：千本木彩花,小仓紫苑：诹访彩花,吉田良子：大和田仁美,吉田清子：大原沙耶香,莉子：伊藤彩沙,白泽店长：松山鹰志",超人气小镇日常奇幻故事回来啦！自身魔族的力量苏醒之后，为了解除暗之一族的封印，主人公夏美子尽管实力微弱却依然奋斗着。魔法少女桃原本应是她的对手，但不知为何她们却开始互相协助，一起追寻消失在镇上的魔法少女身上的谜团…而藏在镇里的新魔族也将出场，夏美子等人的未来究竟会如何呢——
秘密内幕 女警的反击,13,会员专享,9.9,1,718867,718867,123404,364870,120326,15836221,日本,19766,1,"['漫画改', '搞笑', '职场']",2022-01-05,22,5297,MADHOUSE,"川合麻依：若山诗音,藤圣子：石川由依,源诚二：铃木崚汰,山田武志：土屋神叶,牧高美和：花泽香菜",“警察太苦了，我要辞职！”参加了各种公务员考试，考上了的只有警察。在以这个能想到的最肤浅的理由成为警察之后，川合麻依后悔了。早知道这工作这么累又这么不讨好，我是绝对不会当警察的！川合将辞职信攥在手里，决心开始第二人生，就在此时，新的指导员到来。她叫藤圣子，是拥有“完美小姐”外号，以第一名成绩从警察学校毕业的原刑事课王牌。传闻藤是由于对后辈过度职权骚扰，才从刑事课被调到了派出所。川合听说此事后面露怯色，却又很快和她搭档开始了巡逻……新人警察·川合与原刑事课王牌·藤，以这对性格迥异的搭档为中心，各具个性又...
擅长捉弄的高木同学 第三季,12,会员专享,9.9,1,3562668,3382622,1578168,1685362,699143,56074598,日本,71674,1,"['漫画改', '校园', '恋爱']",2022-01-08,202,24731,新锐动画,"高木同学：高桥李依,西片：梶裕贵,美奈：小原好美,友加里：M·A·O,早苗：小仓唯,中井：内田雄马,真野：小岩井小鸟,高尾：冈本信彦,木村：落合福嗣,滨口：内山昂辉,北条：悠木碧,田边老师：田所阳向",“捉弄”缩短了二人的距离，2022年想要守候的初恋就在这里。在一所初中里，有一个叫做西片的男生，他时不时就会遭到同桌女生高木的捉弄。西片每次思考对策，想要捉弄回高木，都会被高木看透。于是西片每天都绞尽脑汁，想要扳回一城…然而随着时间变化的不止是季节，还有西片的心境？看似占据优势的高木似乎也发生了让她动摇的事情？是看对方喜欢自己，还是将喜欢展现给对方看——让人止不住微笑和心动的“捉弄战争”，终于要进入最终回合！？
星之梦～雪圈球～,1,独家,9.9,1,1316764,1210207,42837,63703,13185,1529438,日本,5311,1,"['游戏改', '科幻', '治愈']",2021-08-25,17,1892,Okuruto Noboru,"星野梦美：铃木惠子,仓桥里美：佐藤利奈,三岛吾朗：栉田泰道,森见由香：石见舞菜香,古贺茜：五十岚裕美,馆长：泷知史,秋野晋（少年）：菲鲁兹·蓝,秋野晋：八代拓,雪野：依田菜津,母亲：杉山里穗,情侣男：高桥伸也,陪伴机器人：田村奈央,馆员：菊地达弘,柳晃平",KEY社制作PC游戏『planetarian』在2019年迎来发售15周年。无论何时都不会消散的，美丽而无垠的星光……。满天繁星等待着您。
盖亚奥特曼,51,会员专享,9.9,1,2296550,802374,55735,203921,146474,18350604,日本,8130,1,"['特摄', '热血', '战斗', '科幻']",1998-09-05,23,2419,无,"导演：村石宏实 / 高野敏幸 / 原田昌树 / 児玉高志 / 根本実樹 / 北浦嗣巳 / 石川整 / 八木毅,编剧：小中千昭 / 長谷川圭一 / 川上英幸 / 吉田伸 / 武上純希 / 太田愛 / 古怒田健志 / 右田昌万 / 大西信介 / 増田貴彦,主演：吉冈毅志 / 高野八诚 / 渡边裕之",1997年，超级电脑炼金之星预测到地球将会破坏招来体所消灭。得知此事后人类用炼金之星的研究技术组成一个全球防御组织GUARD，而XIG则是GUARD的战斗力量。2000年，天才少年·高山我梦在一次试验中见到神秘的红色光之巨人。当破坏招来体第一次进攻的时侯，XIG起不到作用。此时，我梦坠入光之隧道，并再次看见巨人，他希望巨人能赐予力量保卫地球。于是，巨人与我梦合二为一，并与破坏招来体展开了战斗。在战胜破坏招来体之后，我梦加入了XIG，而巨人则被命名为“盖亚”。但此时，另一名青年·藤宫博也亦拥有着变身成巨人“阿古茹”的力量。两个巨人...
